管轄,管理番号,名称,緯度,経度,所在地,電話番号
秋田市保健所,秋田県-秋田市保健所-001,Ｄ・Ａ・Ｋデンタルアートカガヤ,39.7342509,140.0742604,秋田県秋田市寺内,
秋田市保健所,秋田県-秋田市保健所-002,Ｋ．Ｋ．ＬＡＢＯ,39.75904200000001,140.1287076,秋田県秋田市濁川,
秋田市保健所,秋田県-秋田市保健所-003,N.デンタルクラフト,39.7466027,140.1060129,秋田県秋田市外旭川,
秋田市保健所,秋田県-秋田市保健所-004,Ｒ・Ｄ・Ｓ,39.7342509,140.0742604,秋田県秋田市寺内,
秋田市保健所,秋田県-秋田市保健所-005,ＴＭデンタルラボラトリー,39.7094061,140.148683,秋田県秋田市桜,
秋田市保健所,秋田県-秋田市保健所-006,小野歯科技工所,39.7088499,140.0652499,秋田県秋田市新屋,
秋田市保健所,秋田県-秋田市保健所-007,株式会社バイオセラミックス,39.7254767,140.1144844,秋田県秋田市保戸野,
秋田市保健所,秋田県-秋田市保健所-008,菊地デンタルデザイン,39.6593476,140.15569,秋田県秋田市御所野,
秋田市保健所,秋田県-秋田市保健所-009,熊谷歯科技工所,39.6684666,140.1310212,秋田県秋田市御野場,
秋田市保健所,秋田県-秋田市保健所-010,熊谷精密歯研,39.6593476,140.15569,秋田県秋田市御所野,
秋田市保健所,秋田県-秋田市保健所-011,クリアーデンタルスタジオ,39.6863505,140.1086471,秋田県秋田市大住南,
秋田市保健所,秋田県-秋田市保健所-012,佐藤歯科技工所,39.7259333,140.0855429,秋田県秋田市八橋,
秋田市保健所,秋田県-秋田市保健所-013,佐藤歯科技工所,39.693512,140.0953147,秋田県秋田市茨島,
秋田市保健所,秋田県-秋田市保健所-014,サトーデンタルラボラトリー,39.6684666,140.1310212,秋田県秋田市御野場,
秋田市保健所,秋田県-秋田市保健所-015,歯科工房ピュア,39.7254767,140.1144844,秋田県秋田市保戸野,
秋田市保健所,秋田県-秋田市保健所-016,相馬歯科技工所,39.7644494,140.1448155,秋田県秋田市添川,
秋田市保健所,秋田県-秋田市保健所-017,タグチデンタルラボラトリイー,39.7088499,140.0652499,秋田県秋田市新屋,
秋田市保健所,秋田県-秋田市保健所-018,デンタルアート・ナカノ,39.7088499,140.0652499,秋田県秋田市新屋,
秋田市保健所,秋田県-秋田市保健所-019,デンタルアイ,39.7088499,140.0652499,秋田県秋田市新屋,
