管轄,管理番号,名称,緯度,経度,所在地,電話番号
青森県-東地方保健所,1,ファミリーデンタル工房,41.1791784,140.4904344,青森県今別町字中沢２３－９,
青森県-東地方保健所,2,本堂歯科技工所,40.9346483,140.9698579,青森県平内町小湊字雷電際１３－１２３,
青森県-弘前保健所,1,ウリタ技研,40.6176061,140.4751677,青森県弘前市大字宮園三丁目３－３５,
青森県-弘前保健所,2,大手門技工,40.5918362,140.4598364,青森県弘前市大字樹木１丁目１４－７,
青森県-弘前保健所,3,株式会社札幌デンタル・ラボラトリー　北東北営業所,40.5986378,140.4895154,青森県弘前市大字城東1丁目２－４,
青森県-弘前保健所,4,さいとうデンタルラボ,40.61105269999999,140.4556545,青森県弘前市大字和田町５－６,
青森県-弘前保健所,5,歯夢デンタル・ラボラトリー,40.5796327,140.4999131,青森県弘前市大字門外一丁目７－１５,
青森県-弘前保健所,6,中央歯科補綴研究所,40.5945105,140.4644415,青森県弘前市大字新寺町６２－２０,
青森県-弘前保健所,7,テクノクラフト,40.5478367,140.5144719,青森県弘前市大字大沢字大萢１－８６,
青森県-弘前保健所,8,株式会社　ＲＡＢＯＲ　ＹＯＳＨＩＮＯ,40.6095822,140.4900011,青森県弘前市大字堅田３丁目６－７,
青森県-弘前保健所,9,デンタル・ラボ・今,40.5700117,140.4835669,青森県弘前市大字松原東四丁目４－１６,
青森県-弘前保健所,10,宮園歯研,40.6210574,140.4745707,青森県弘前市大字宮園五丁目１４－３２,
青森県-弘前保健所,11,友歯科工房,40.5964592,140.4576841,青森県弘前市大字茂森新町一丁目２－１０,
青森県-弘前保健所,12,野呂歯科技工所,40.5841168,140.4926714,青森県弘前市大字大清水一丁目１５－１５,
青森県-弘前保健所,13,弘前歯科補綴研究所,40.5694628,140.4851981,青森県弘前市大字広野二丁目３－２１,
青森県-弘前保健所,14,藤代技工研究所,40.6148704,140.4508126,青森県弘前市大字藤代一丁目１０－１,
青森県-弘前保健所,15,株式会社マエダ歯研,40.5730365,140.4888043,青森県弘前市大字広野二丁目３１－５,
青森県-弘前保健所,16,クボタ・デンタル・サービス,40.6107406,140.4872904,青森県弘前市大字和徳町２７７－１０,
青森県-弘前保健所,17,Alba Dental Art,40.6529752,140.5993241,青森県黒石市松葉町１１９－２,
青森県-弘前保健所,18,内山歯科技工所,40.62864709999999,140.6088837,青森県黒石市大字浅瀬石字村上２０７,
青森県-弘前保健所,19,くどう歯科技工所,40.6383305,140.601611,青森県黒石市ちとせ３－３０,
青森県-弘前保健所,20,有限会社佐藤歯科技工研究所,40.64701,140.6064412,青森県黒石市美原町９７－３８,
青森県-弘前保健所,21,株式会社dental vision,40.62658830000001,140.6182365,青森県黒石市浅瀬石清川11番地１,
青森県-弘前保健所,22,デンタルラボ 工藤,40.64953269999999,140.6053665,青森県黒石市青山１３７－９,
青森県-弘前保健所,23,光デンタルサポート,40.6672755,140.6219165,青森県黒石市赤坂野崎２０－１,
青森県-弘前保健所,24,宏明歯科技研,40.6376693,140.61833,青森県黒石市牡丹平字福民北２１－２,
