管理番号,施設名称,所在地,開設者,電話番号
1,帯川技工所,大野字片岡29-13,帯川　文彦,017-777-2820
2,デンタル・セラミック・アート,富田４丁目11-25,五十嵐健治,017-782-3299
3,相馬デンタル・ラボ,中佃３丁目12-2,相馬　敏春,017-741-6481
4,オオツカデンタルセラミック,千刈４丁目13-17,大塚　博久,017-723-9393
5,沼山歯科技工所,筒井１丁目3-21,沼山　行信,017-741-4890
6,ラボラトリー・テヅカ,栄町１丁目5-4松栄堂ビル202号,手塚　徳悦,017-744-1900
7,川村千代志歯科補綴研究所,大字荒川字柴田１２８－１３,川村千代志,017-729-0737
8,歯科技工所ナルミ技工,大野字若宮７４－１,鳴海　勉,017-739-9736
9,DENTAL・CRAFT・KUDO,堤町二丁目１４－９,工藤　英夫,017-776-9663
10,タニグチ・デンタルラボラトリー,浪岡大字本郷字岸田２２－１,谷口　実,0172-69-1771
11,石岡歯科補綴研究所,三好一丁目12-2,石岡　学,017-782-1495
12,ＰＬデンタルスタッフ,浜田二丁目1-1,柳谷　雅敏,017-729-1218
13,阿部デンタルラボ,東造道三丁目１１－２７,阿部　哲也,017-736ｰ2484
14,成田デンタル工房,大字新城字山田２２２－５２６,成田 和憲,017-788-6612
15,ラボＲ．Ｋ,第２問屋町1-4-31ユアハイツＤ,奈良　一秀,017-729-8710
16,さくらＤＥＮＴＡＬ　ＬＡＢＯ,小柳3-12-12,越膳　明,017-741-0948
17,大沢歯科技工所,大字羽白字池上１９０－２,大澤　貴生,017-788-1957
18,エスディーラボ,久須志四丁目１８－７,須藤　豊,017-781-0018
19,株式会社アルファデンタルサポート,新田二丁目２８－１５,株式会社アルファデンタルサポート,017-781-3964
20,中野デンタル・ラボラトリー,大字石江字平山２－５９８,中野　靖,017-766-3603
21,デンタルラボGO,大字羽白字沢田478-5,最上　強,017-718-2515
22,松田デンタルラボ,自由ヶ丘２丁目５－２０,松田　修,017-741-0174
23,デンタルテクノ,宮田玉水119-20,和田　吉裕,017-726-1080
24,ターボデンタルラボラトリ（ＴＤＬ）,久須志１丁目1-5,若山　孝,017-775-6266
25,蝦名技工所,岡町松本１４,蝦名　清憲,080-3199-0606
26,Fデンタルラボラトリー,久須志３丁目４－２,福士　一之,090-6450-3712
27,あおもり歯工,浜田字玉川５０－１３,木村　俊一,017-777-4733
28,エドLABO,小柳三丁目3-16,江戸　優,017-742-3858
29,株式会社技工社・デンタル・ラボ,新城字山田339-34,株式会社技工社・デンタル・ラボ,017-788-3811
30,TAKE　Dental　Studio,浜田字豊田28-132,竹浪　正和,017-718-5032
31,和嶋義歯製作所,南佃１丁目４－３４,和嶋　一樹,017-752-6129
32,成田歯科技工所,浪岡大字吉内字山下９,成田　浩靖,0172-62-3350
33,有限会社若松歯科技工所,松森１丁目14-13,有限会社若松歯科技工所,017-743-7177
34,Ｏ．Ｄラボ,大野字若宮183-16,長内　智,017-739-0412
35,Ｋ．Ｉデンタルラボ,筒井字桜川82-9,佐藤　栄悦,017-738-7934
36,ラボ岡山,金沢１丁目3-23,岡山　幸正,017-722-1822
37,株式会社K．Dental　Labo,篠田2丁目17番15-1号,株式会社K．Dental　Labo,080-1657-5737
38,株式会社TDS青森支店,中央1丁目6-8,株式会社TDS,017-718-7729
39,マヤマ・デンタルラボラトリー,浪岡大字女鹿沢字東種本５０－８,間山　泰史,0172-62-8672
40,シンフォニック・ラボラトリー,東大野１丁目-12-13,柳川　訓,017-739-1976
41,アキモトデンタルラボラトリー,浪館字志田34-1,秋元　初夫,017-781-5531
42,シマナカデンタルサービス,蛍沢一丁目２０－１９,嶋中　達,017-741-8197
43,ラボスタジオ宮嶋,久須志４丁目17-11,宮嶋　順子,017-781-0457
44,義歯研究所,金沢三丁目9-2,天内　俊夫,017-776-7439
45,アートデンタル,富田４丁目８－２４,風晴　洋子,017-781-2592
46,ＣＫラボラトリー,大野字山下１７７-８６,鈴木　完治,017-729-8872
47,田中歯科技研,浪岡大字女鹿沢字東花岡５０－１１,田中　雅志,0172-62-9978
48,ハート・デンタル・ラボラトリー,里見１丁目11-3,中村　和則,017-781-9907
49,有限会社ディーシーラボラトリー,浪館前田４丁目５－６２,有限会社ディーシーラボラトリー,017-766-5933
50,デンタルＡラボラトリー,大野字前田74-51,長澤　包勝,017-729-8936
51,白取デンタルラボ,西滝三丁目15-3　フクヤいとう２階,白取　隆広,017-766-9341
52,高志工房,桜川３丁目１４－１７,（有）高志工房,017-743-6881
53,有限会社北日本歯科技工所,新城字福田265-23,有限会社北日本歯科技工所,017-763-3250
54,トミタ歯科技工所,篠田三丁目7-2,松尾　真哉,090-5840-7259
55,歯科工房　は組,千富1丁目2-23,葛西　肇,017-762-0722
56,デンタルラボ匠,大字新城字山田１１７－２,西塚　春義,017-787-0818
57,デンタルラボMs,羽白字沢田791-2,赤田　昌,017-753-3133
58,柿崎歯科技工所,新田二丁目20番39号,柿崎　崇,090-8016-1143
59,K-DENTAL CLAFT,小柳3丁目2-22,長久保　和也,090-7330-2623
60,S CLAFT Bumblebee,金沢二丁目3-11,佐々木　将也,080-4517-9663
61,トラストデンタルラボ,浪館前田4丁目2-12,山田　真澄,080-1826-2404
62,青森東技工所,はまなす2丁目18番16号,石澤　公康,090-9425-7647
