管轄,管理番号,名称,緯度,経度,所在地,電話番号
青森市保健所,1,帯川技工所,40.81024170000001,140.7391752,青森県青森市大野字片岡29-13,017-777-2820
青森市保健所,2,デンタル・セラミック・アート,40.8367927,140.7092349,青森県青森市富田４丁目11-25,017-782-3299
青森市保健所,3,相馬デンタル・ラボ,40.8184541,140.7859631,青森県青森市中佃３丁目12-2,017-741-6481
青森市保健所,4,オオツカデンタルセラミック,40.823365,140.7209153,青森県青森市千刈４丁目13-17,017-723-9393
青森市保健所,5,沼山歯科技工所,40.8078716,140.7641283,青森県青森市筒井１丁目3-21,017-741-4890
青森市保健所,6,ラボラトリー・テヅカ,40.8243636,140.7647984,青森県青森市栄町１丁目5-4松栄堂ビル202号,017-744-1900
青森市保健所,7,川村千代志歯科補綴研究所,40.786062,140.738755,青森県青森市大字荒川字柴田１２８－１３,017-729-0737
青森市保健所,8,歯科技工所ナルミ技工,40.8043692,140.7339047,青森県青森市大野字若宮７４－１,017-739-9736
青森市保健所,9,DENTAL・CRAFT・KUDO,40.8235033,140.7586918,青森県青森市堤町二丁目１４－９,017-776-9663
青森市保健所,10,タニグチ・デンタルラボラトリー,40.6905036,140.6185076,青森県青森市浪岡大字本郷字岸田２２－１,0172-69-1771
青森市保健所,11,石岡歯科補綴研究所,40.83473,140.7044258,青森県青森市三好一丁目12-2,017-782-1495
青森市保健所,12,ＰＬデンタルスタッフ,40.8041042,140.7520041,青森県青森市浜田二丁目1-1,017-729-1218
青森市保健所,13,阿部デンタルラボ,40.8283646,140.7978807,青森県青森市東造道三丁目１１－２７,017-736ｰ2484
青森市保健所,14,成田デンタル工房,40.8184862,140.6468941,青森県青森市大字新城字山田２２２－５２６,017-788-6612
青森市保健所,15,ラボＲ．Ｋ,40.78899060000001,140.7607259,青森県青森市第２問屋町1-4-31ユアハイツＤ,017-729-8710
青森市保健所,16,さくらＤＥＮＴＡＬ　ＬＡＢＯ,40.8222724,140.793824,青森県青森市小柳3-12-12,017-741-0948
青森市保健所,17,大沢歯科技工所,40.8529191,140.6853921,青森県青森市大字羽白字池上１９０－２,017-788-1957
青森市保健所,18,エスディーラボ,40.818511,140.7227666,青森県青森市久須志四丁目１８－７,017-781-0018
青森市保健所,19,株式会社アルファデンタルサポート,40.8401807,140.7108402,青森県青森市新田二丁目２８－１５,017-781-3964
青森市保健所,20,中野デンタル・ラボラトリー,40.8223437,140.6887204,青森県青森市大字石江字平山２－５９８,017-766-3603
青森市保健所,21,デンタルラボGO,40.8553311,140.6864061,青森県青森市大字羽白字沢田478-5,017-718-2515
青森市保健所,22,松田デンタルラボ,40.81377140000001,140.7976967,青森県青森市自由ヶ丘２丁目５－２０,017-741-0174
青森市保健所,23,デンタルテクノ,40.8373959,140.8367568,青森県青森市宮田玉水119-20,017-726-1080
青森市保健所,24,ターボデンタルラボラトリ（ＴＤＬ）,40.8223221,140.7317776,青森県青森市久須志１丁目1-5,017-775-6266
青森市保健所,25,蝦名技工所,40.8401191,140.6841987,青森県青森市岡町松本１４,080-3199-0606
青森市保健所,26,Fデンタルラボラトリー,40.82085250000001,140.7248876,青森県青森市久須志３丁目４－２,090-6450-3712
青森市保健所,27,あおもり歯工,40.8026075,140.764614,青森県青森市浜田字玉川５０－１３,017-777-4733
青森市保健所,28,エドLABO,40.8198757,140.792856,青森県青森市小柳三丁目3-16,017-742-3858
青森市保健所,29,株式会社技工社・デンタル・ラボ,40.8277521,140.6610457,青森県青森市新城字山田339-34,017-788-3811
青森市保健所,30,TAKE　Dental　Studio,40.8046064,140.7571018,青森県青森市浜田字豊田28-132,017-718-5032
青森市保健所,31,和嶋義歯製作所,40.8104437,140.7815553,青森県青森市南佃１丁目４－３４,017-752-6129
青森市保健所,32,成田歯科技工所,40.6996528,140.6119583,青森県青森市浪岡大字吉内字山下９,0172-62-3350
青森市保健所,33,有限会社若松歯科技工所,40.8193411,140.7728016,青森県青森市松森１丁目14-13,017-743-7177
青森市保健所,34,Ｏ．Ｄラボ,40.8065401,140.7400067,青森県青森市大野字若宮183-16,017-739-0412
青森市保健所,35,Ｋ．Ｉデンタルラボ,40.8027292,140.7772148,青森県青森市筒井字桜川82-9,017-738-7934
青森市保健所,36,ラボ岡山,40.8153333,140.7345506,青森県青森市金沢１丁目3-23,017-722-1822
青森市保健所,37,株式会社K．Dental　Labo,40.8264122,140.7263261,青森県青森市篠田2丁目17番15-1号,080-1657-5737
青森市保健所,38,株式会社TDS青森支店,40.8196873,140.7449738,青森県青森市中央1丁目6-8,017-718-7729
青森市保健所,39,マヤマ・デンタルラボラトリー,40.70676539999999,140.5833301,青森県青森市浪岡大字女鹿沢字東種本５０－８,0172-62-8672
青森市保健所,40,シンフォニック・ラボラトリー,40.8024903,140.7422402,青森県青森市東大野１丁目-12-13,017-739-1976
青森市保健所,41,アキモトデンタルラボラトリー,40.8093684,140.7207739,青森県青森市浪館字志田34-1,017-781-5531
青森市保健所,42,シマナカデンタルサービス,40.79866519999999,140.7984973,青森県青森市蛍沢一丁目２０－１９,017-741-8197
青森市保健所,43,ラボスタジオ宮嶋,40.81812490000001,140.7226595,青森県青森市久須志４丁目17-11,017-781-0457
青森市保健所,44,義歯研究所,40.8102771,140.7336796,青森県青森市金沢三丁目9-2,017-776-7439
青森市保健所,45,アートデンタル,40.8375296,140.7104749,青森県青森市富田４丁目８－２４,017-781-2592
青森市保健所,46,ＣＫラボラトリー,40.8076197,140.7310308,青森県青森市大野字山下１７７-８６,017-729-8872
青森市保健所,47,田中歯科技研,40.708647,140.583959,青森県青森市浪岡大字女鹿沢字東花岡５０－１１,0172-62-9978
青森市保健所,48,ハート・デンタル・ラボラトリー,40.8177816,140.7111247,青森県青森市里見１丁目11-3,017-781-9907
青森市保健所,49,有限会社ディーシーラボラトリー,40.8126931,140.7222971,青森県青森市浪館前田４丁目５－６２,017-766-5933
青森市保健所,50,デンタルＡラボラトリー,40.8016654,140.7329815,青森県青森市大野字前田74-51,017-729-8936
青森市保健所,51,白取デンタルラボ,40.8223502,140.7129729,青森県青森市西滝三丁目15-3　フクヤいとう２階,017-766-9341
青森市保健所,52,高志工房,40.817225,140.7700023,青森県青森市桜川３丁目１４－１７,017-743-6881
青森市保健所,53,有限会社北日本歯科技工所,40.8345403,140.6875406,青森県青森市新城字福田265-23,017-763-3250
青森市保健所,54,トミタ歯科技工所,40.8289704,140.7239757,青森県青森市篠田三丁目7-2,090-5840-7259
青森市保健所,55,歯科工房　は組,40.8187899,140.7302511,青森県青森市千富1丁目2-23,017-762-0722
青森市保健所,56,デンタルラボ匠,40.8226379,140.6582154,青森県青森市大字新城字山田１１７－２,017-787-0818
青森市保健所,57,デンタルラボMs,40.8596826,140.6807466,青森県青森市羽白字沢田791-2,017-753-3133
青森市保健所,58,柿崎歯科技工所,40.8222197,140.7473524,青森県青森市新田二丁目20番39号,090-8016-1143
青森市保健所,59,K-DENTAL CLAFT,40.82135359999999,140.7918052,青森県青森市小柳3丁目2-22,090-7330-2623
青森市保健所,60,S CLAFT Bumblebee,40.8148979,140.7306614,青森県青森市金沢二丁目3-11,080-4517-9663
青森市保健所,61,トラストデンタルラボ,40.81384389999999,140.7224499,青森県青森市浪館前田4丁目2-12,080-1826-2404
青森市保健所,62,青森東技工所,40.8227519,140.7984187,青森県青森市はまなす2丁目18番16号,090-9425-7647
