管轄,管理番号,名称,緯度,経度,所在地,電話番号
旭川市保健所,01-14-0001,アオヤマ・デンタルラボ,43.8153875,142.3856414,旭川市末広４条８丁目３番３号,
旭川市保健所,01-14-0002,旭川デンタル・ラボラトリ－,43.7543559,142.4057936,旭川市東光１条５丁目２番５号,
旭川市保健所,01-14-0003,アップルデンタルラボラトリ－,43.7534212,142.4068014,旭川市東光２条５丁目（東光歯科医院２階）,
旭川市保健所,01-14-0004,アユム　デンタル　リバーサイド,43.7602114,142.3384489,旭川市神居１条１０丁目１番５号,
旭川市保健所,01-14-0005,アルファデンタルラボラトリ－,43.7496372,142.4051636,旭川市東光６条２丁目３番２５号,
旭川市保健所,01-14-0006,アングル歯研,43.7904357,142.3269473,旭川市緑町２０丁目２７５０,
旭川市保健所,01-14-0007,イーストセラミック,43.7585961,142.4317004,旭川市東旭川町下兵村２３７,
旭川市保健所,01-14-0008,井川歯科技工所,43.7431673,142.365853,旭川市神楽岡９条４丁目６の１,
旭川市保健所,01-14-0009,ＩＫＵＭＩＮ,43.7495982,142.3589788,旭川市神楽４条１３丁目３番２号,
旭川市保健所,01-14-0010,イシイ・デンタルラボラトリー,43.7767332,142.3198364,旭川市忠和４条５丁目９-６,
旭川市保健所,01-14-0011,石崎歯科技工所,43.7808772,142.3562364,旭川市本町３丁目４３７番地,
旭川市保健所,01-14-0012,伊藤歯科技研,43.7718943,142.4359393,旭川市東旭川北１条４丁目１０－２,
旭川市保健所,01-14-0013,稲田歯科技研,43.799578,142.4293038,旭川市永山７条１４丁目１番７号,
旭川市保健所,01-14-0014,今本歯科技工所,43.7710503,142.4073589,旭川市豊岡１３条５丁目４番７号,
旭川市保健所,01-14-0015,岩崎デンタルラボ,43.74640610000001,142.402974,旭川市東光９条５丁目６番１６号,
旭川市保健所,01-14-0016,㈲上田デンタルラボ,43.7646139,142.3859437,旭川市６条通２３丁目３５９番地の８,
旭川市保健所,01-14-0017,エイトハンド,43.81848919999999,142.3614727,旭川市春光台２条４丁目８番５号,
旭川市保健所,01-14-0018,Ｓ，Ｋ Dental Design,43.76126319999999,142.3113485,旭川市高砂台５丁目１６番８号,
旭川市保健所,01-14-0019,㈲ＳＴデザインアトリエ,43.7345997,142.3832774,旭川市緑が丘1条3丁目3番28号,
旭川市保健所,01-14-0020,Ｍ＆Ｍデンタルラボ,43.74359889999999,142.4236782,旭川市東旭川町共栄９６,
旭川市保健所,01-14-0021,近江デンタル倶楽部,43.7613522,142.4259254,旭川市豊岡６条１１丁目７番６号,
旭川市保健所,01-14-0022,㈲ＯＫデンタルラボラトリ－,43.7449263,142.3959035,旭川市東光１１条３丁目ｼｭﾛｽ東光,
旭川市保健所,01-14-0023,大場歯科技研,43.73626609999999,142.4113555,旭川市東光１９条７丁目１２６－４９,
旭川市保健所,01-14-0024,株式会社オーラルインプラントデザイン,43.764939,142.3585961,旭川市宮下通７丁目２３９９番地１明治屋ビル４階,
旭川市保健所,01-14-0025,オーラル　デザイン,43.7935332,142.3899099,旭川市秋月１条２丁目３番１号,
旭川市保健所,01-14-0026,岡崎歯研,43.7497954,142.3397231,旭川市神居３条１８丁目１番７号,
旭川市保健所,01-14-0027,尾田デンタルラボラトリー,43.7924622,142.3912554,旭川市秋月１条２丁目１０番１３号,
旭川市保健所,01-14-0028,(株)ＡＲＥクラフト,43.7658954,142.371865,旭川市４条通１５丁目４０９番地６西田ビル３階,
旭川市保健所,01-14-0029,(株)ＡＲＥクラフトⅡ,43.7625217,142.3298139,旭川市神居５条６丁目１番１１号,
旭川市保健所,01-14-0030,㈱技研,43.7861233,142.3915937,旭川市大雪通９丁目宇山ビル１Ｆ,
旭川市保健所,01-14-0031,技工房タカハシ,43.7688649,142.3517056,旭川市２条通２丁目左９号,
旭川市保健所,01-14-0032,岸田歯科技工所,43.8090175,142.3896904,旭川市末広１条６丁目５－１３,
旭川市保健所,01-14-0033,クイックデンタルファクトリー,43.7642426,142.3879688,旭川市７条通２４丁目３５８番地の１３０,
旭川市保健所,01-14-0034,沓澤デンタルラボラトリー,43.7415171,142.3635985,旭川市神楽岡１１条４丁目５－２２,
旭川市保健所,01-14-0035,Ｋ’ｓ　Ａｒｔ,43.7570751,142.4107673,旭川市豊岡２条６丁目７番８号,
旭川市保健所,01-14-0036,㈲ケイ・ツー・アート・ラボラトリー,43.8087717,142.3692362,旭川市春光５条９丁目１１番８号,
旭川市保健所,01-14-0037,Ｋ・Ｃ・Ｏ,43.7496372,142.4051636,旭川市東光６条２丁目２番１９号,
旭川市保健所,01-14-0038,Ｋ，Ａデンタルラボラトリー,43.7959199,142.3194808,旭川市旭岡４丁目２－３,
旭川市保健所,01-14-0039,株式会社Ｋ・ナイン,43.7700975,142.3917878,旭川市豊岡１２条１丁目４番１３号,
旭川市保健所,01-14-0040,コウノデンタルワークス,43.7958368,142.332258,旭川市北門町２１丁目２１６８番地の５７,
旭川市保健所,01-14-0041,近藤デンタルラボラトリー,43.7739888,142.3224248,旭川市忠和４条６丁目３番１３号,
旭川市保健所,01-14-0042,佐藤デンタルスタジオ,43.7530153,142.3563697,旭川市神楽４条１１丁目４４７番地の４２,
旭川市保健所,01-14-0043,The northern lights DC studio,43.7613431,142.3345394,旭川市神居２条８丁目２番１０号ミカミビル第１ 103,
旭川市保健所,01-14-0044,歯科工房さいとう,43.8184413,142.3858031,旭川市末広５条９丁目８番９号,
旭川市保健所,01-14-0045,㈲設楽歯科技工所,43.8065094,142.3719348,旭川市春光４条９丁目７番２３号,
旭川市保健所,01-14-0046,シックデンタル・ラボラトリ－,43.6879797,142.3923159,旭川市西神楽北２条１丁目１３３番２５８,
旭川市保健所,01-14-0047,シロクマ歯科技工所,43.7696085,142.3874596,旭川市１０条通２２丁目１番地の１１コジマビル２階右号室,
旭川市保健所,01-14-0048,新堂デンタルラボラトリー,43.7481172,142.3838834,旭川市南７条通２６丁目５６７番地の１７,
旭川市保健所,01-14-0049,菅井デンタルラボラトリー,43.7470572,142.4223541,旭川市東光７条１０丁目２７番地,
旭川市保健所,01-14-0050,ステップデンタルスタジオ,43.7916433,142.3360589,旭川市錦町17丁目2692番地25,
旭川市保健所,01-14-0051,スマイルサポートデンタルラボ,43.7563975,142.4140291,旭川市豊岡２条７丁目６番５号,
旭川市保健所,01-14-0052,スワロ－デンタルア－ト,43.811972,142.3699727,旭川市末広６条１丁目５番８号,
旭川市保健所,01-14-0053,成和歯研,43.7880286,142.3440566,旭川市北門町１２丁目２９３１番地３６,
旭川市保健所,01-14-0054,高橋歯研,43.7690919,142.4357191,旭川市東旭川南１条４丁目７番１４号,
