管轄,管理番号,名称,緯度,経度,所在地,電話番号
県北保健所,1,本田歯科技工所,37.5546608,140.4125389,福島県二本松市上平内69-1,
県北保健所,2,デンタルアート・タカバ,37.6027658,140.4384706,福島県二本松市郭内二丁目85-6,
県北保健所,3,ホープデンタルスゲノ,37.6215966,140.4181964,福島県二本松市湯川町237,
県北保健所,4,歯科工房スゲノ,37.5882175,140.4466651,福島県二本松市冠木15-4,
県北保健所,5,ひろしデンタルラボラトリー,37.5618645,140.5070859,福島県二本松市小浜字新町397,
県北保健所,6,アードベック,37.5871114,140.4263526,福島県二本松市大壇113,
県北保健所,7,Atelier KEI Dental Research.,37.5676568,140.5781629,福島県二本松市太田字下田86,
県北保健所,8,有限会社中山歯科技工所,37.8350061,140.5553731,福島県伊達市保原町大字上保原字内山台2-7,
県北保健所,9,オーデｨーアール,37.8228494,140.5701714,福島県伊達市保原町みずほ5-3,
県北保健所,10,一條技研,37.805134,140.5302215,福島県伊達市保原町大字上保原字細田入23-1,
県北保健所,11,佐々木デンタルラボラトリー,37.5164968,140.4185681,福島県本宮市高木字井戸上13-8,
県北保健所,12,本宮技工所,37.5179597,140.3936806,福島県本宮市本宮上千束2-4,
県北保健所,13,大沢歯研,37.5127251,140.4078402,福島県本宮市高木字大学18,
県北保健所,14,エバンス,37.4846572,140.3560365,福島県本宮市岩根字みずきが丘1-674,
県北保健所,15,エス・ディー・エル,37.5082011,140.4714521,福島県本宮市白岩字根岸69,
県北保健所,16,佐藤歯科技工所,37.8433877,140.5120929,福島県伊達郡桑折町大字万正寺字道心畑6-1,
県北保健所,17,伊藤歯科技研,37.87989779999999,140.5443879,福島県伊達郡国見町大字山崎字宮舘1-34,
県北保健所,18,トライ　デント,37.89052909999999,140.5232703,福島県伊達郡国見町大字小坂字小坂48,
県北保健所,19,グリーンラボ　,37.8785666,140.5475874,福島県伊達郡国見町藤田町尻二12-1,
県北保健所,20,デンタルワークラボラトリー,37.5357433,140.3711101,福島県安達郡大玉村大字玉井字星内31-9,
