歯科技工所の名称,歯科技工所の所在地,開設者氏名
野沢歯科技工所,福島市吉倉字吉田45-3,野沢　喜久雄
木幡デンタルラボラトリー,福島市飯坂町平野字谷地田3-12,木幡　公男
八代歯科技工所,福島市南向台1丁目25-4,八代　政明
青砥歯科技工所,福島市渡利字岩根町22-17,青砥　民幸
デンセラミック,福島市鳥谷野字杉の内17-3,半田　正夫
星デンタルラボラトリー,福島市御山字一本木25-3,星　次郎
(有)東北歯科精密,福島市成川字杵清水22-5,(有)東北歯科精密
三浦技工所,福島市北中央1丁目14番地の2,三浦　郁夫
藤谷歯科技工所,福島市下野寺字北田2-9,藤谷　義弘
ハタナカ歯科技工所,福島市蓬莱町8丁目12-6,畠中　友純
大友歯科技工所,福島市蓬莱町3-9-2,大友　哲
デンタルラボ遊佐,福島市笹谷字向原前48-4,遊佐　英永
菊地デンタルラボラトリー,福島市南向台1-2-12,菊地　眞
トラストデンタルサービス,福島市町庭坂字下原36-6,佐藤　公生
Y・Kラボ,福島市上鳥渡しのぶ台86-8,矢内　幸次
菱沼デンタルセラミック,福島市御山字一本木52-11,菱沼　久夫
渡辺デンタルラボ,福島市山口字町田120-8,渡辺　勝
デンタルラボ・マスターワークス,福島市笹谷字原町29,本田　明宏
(有)コレクト,福島市中町7-1,(有)コレクト
(有)デンティックス,福島市渡利字三本木入34-9,(有)デンティックス
デンタル・テクニカル・エンドー,福島市岡部字大下73-2,遠藤　勝也
ラボックス,福島市南向台3-7-13,熊田　仁寿
有限会社ラボフィット,福島市笹谷字三本松23-15,(有)ラボフィット
株式会社　isotope,福島市荒井字横塚11-102,(株)isotope
吉川歯研,福島市飯坂町字前原1-3,吉川　俊彦
デンタルテクノクラフト,福島市五老内町8-3-1,古山　幸弘
ラボ・R,福島市大森字久保内139-9,小畠　毅
(有)ピーク・ツー,福島市南矢野目字高田10-40,(有)ピーク・ツー
デンタルガレージ大内,福島市松川町沼袋字北96-20,大内　勝
CLAIR（クレア）,福島市松川町字天王原2-8,菅野　毅
デンタル・ラボ・アプト,福島市渡利字丸滝46-1　てんじん貸家5,伊藤　哲也
M’s・D・STUDIO,福島市成川字久保6-1,村上　秀幸
オーテックス,福島市岡部内川原77-8,小野寺　久
カンズ・デンタルクラフト,福島市御山字仲ノ町43-3,菅野　秀実
デンタルラボスズテック,福島市笹谷字三本松12-2,鈴木　満宏
ファインデント,福島市南矢野目字中屋敷58-10,齋藤 一朗
デンタルパルス,福島市飯坂町平野字乱東後12-13,伊藤　育夫
アズ・デンタル・ラボ,福島市北沢又字稲荷中川原1-76,二文字屋　徹
デンチャー工房緑川,福島市吉倉字八幡69-3,緑川　隆
デントクラフト　アドバンス,福島市瀬上町字明光町34-2,松本　雅行
ヴィジョン,福島市飯坂町字八幡新田1-2,渡邉　克哉
(有)酒井歯科技工所,福島市松川町南諏訪原71-3,(有)酒井歯科技工所
K・デンタルラボラトリー,福島市早稲町8-12,渡邊　一雄
デンタルラボ　ホープ,福島市南沢又字中條1-7,黒沢　静香
カンノデンタルラボ,福島市渡利字大久保７－６,菅野　敦
ジャケットデンタルサービス,福島市太平寺字堰ノ上69-1,鈴木　利昭
株式会社DIPS,福島市成川字金田6番地の2,(株)DIPS
ラボクリエーション.Kanno,福島市小倉寺字敷ヶ森30-3　2F,菅野　正実
株式会社ホリエ,福島市南向台1丁目27-13,(株)ホリエ
八木田歯科技研,福島市八木田字榎内30-1,竹石　和典
DLメデックス,福島市南向台2-25-3,武藤　芳正
歯科技工所　ツクルハ,福島市方木田字永屋14-3,武藤　陽太
デンテック,福島市渡利字舘77-1,菅野　卓正
菊地歯科補綴,福島市丸子字上六反田21-3,菊地　憲治
安齋デンタルラボラトリー,福島市岡部字内川原95-6,安齋　大輔
ハセガワデンタルラボ,福島市渡利字鳥谷下町98-1,長谷川　洋幸
医療法人陽雄会 SYUデンタルラボ,福島市飯坂町字湯町５番地の１,医療法人陽雄会
C・C Lab.株式会社,福島市東浜町5-12,C・C Lab.株式会社
合同会社ラボハーツ,福島市南向台2丁目25-1,合同会社ラボハーツ
東部ラボ,福島市岡部字大蔵18-7-101,菅野　浩平
デンチャーラボラトリー・アベ,福島市泉字先達27-6,阿部　幸則
アップルデンチャー,福島市蓬莱町6-14-6,吉川　治夫
