管轄,管理番号,名称,緯度,経度,所在地,電話番号
福島市保健所,,野沢歯科技工所,37.7450559,140.4438228,福島県福島市吉倉字吉田45-3,
福島市保健所,,木幡デンタルラボラトリー,37.8043764,140.4485199,福島県福島市飯坂町平野字谷地田3-12,
福島市保健所,,八代歯科技工所,37.7228195,140.4770118,福島県福島市南向台1丁目25-4,
福島市保健所,,青砥歯科技工所,37.7523631,140.4850839,福島県福島市渡利字岩根町22-17,
福島市保健所,,デンセラミック,37.7336204,140.4686733,福島県福島市鳥谷野字杉の内17-3,
福島市保健所,,星デンタルラボラトリー,37.7774972,140.4611806,福島県福島市御山字一本木25-3,
福島市保健所,,(有)東北歯科精密,37.7394774,140.4220082,福島県福島市成川字杵清水22-5,
福島市保健所,,三浦技工所,37.7633328,140.4353614,福島県福島市北中央1丁目14番地の2,
福島市保健所,,藤谷歯科技工所,37.7590388,140.4267022,福島県福島市下野寺字北田2-9,
福島市保健所,,ハタナカ歯科技工所,37.6968128,140.4886741,福島県福島市蓬莱町8丁目12-6,
福島市保健所,,大友歯科技工所,37.7033242,140.4831293,福島県福島市蓬莱町3-9-2,
福島市保健所,,デンタルラボ遊佐,37.8010981,140.427641,福島県福島市笹谷字向原前48-4,
福島市保健所,,菊地デンタルラボラトリー,37.7209243,140.4792286,福島県福島市南向台1-2-12,
福島市保健所,,トラストデンタルサービス,37.773894,140.3867294,福島県福島市町庭坂字下原36-6,
福島市保健所,,Y・Kラボ,37.7161609,140.4077154,福島県福島市上鳥渡しのぶ台86-8,
福島市保健所,,菱沼デンタルセラミック,37.7771469,140.4600271,福島県福島市御山字一本木52-11,
福島市保健所,,渡辺デンタルラボ,37.7708182,140.5067953,福島県福島市山口字町田120-8,
福島市保健所,,デンタルラボ・マスターワークス,37.7902128,140.4206877,福島県福島市笹谷字原町29,
福島市保健所,,(有)コレクト,37.7520591,140.4655605,福島県福島市中町7-1,
福島市保健所,,(有)デンティックス,37.7551304,140.4918614,福島県福島市渡利字三本木入34-9,
福島市保健所,,デンタル・テクニカル・エンドー,37.7852659,140.4971944,福島県福島市岡部字大下73-2,
福島市保健所,,ラボックス,37.7248273,140.4844795,福島県福島市南向台3-7-13,
福島市保健所,,有限会社ラボフィット,37.7868328,140.4438974,福島県福島市笹谷字三本松23-15,
福島市保健所,,株式会社　isotope,37.7031511,140.3719684,福島県福島市荒井字横塚11-102,
福島市保健所,,吉川歯研,37.8136549,140.447734,福島県福島市飯坂町字前原1-3,
福島市保健所,,デンタルテクノクラフト,37.7596964,140.4757033,福島県福島市五老内町8-3-1,
福島市保健所,,ラボ・R,37.7325694,140.4517976,福島県福島市大森字久保内139-9,
福島市保健所,,(有)ピーク・ツー,37.7852575,140.467992,福島県福島市南矢野目字高田10-40,
福島市保健所,,デンタルガレージ大内,37.6594592,140.4937839,福島県福島市松川町沼袋字北96-20,
福島市保健所,,CLAIR（クレア）,37.6535065,140.4863172,福島県福島市松川町字天王原2-8,
福島市保健所,,デンタル・ラボ・アプト,37.7453254,140.4676732,福島県福島市渡利字丸滝46-1　てんじん貸家5,
福島市保健所,,M’s・D・STUDIO,37.7405421,140.4363365,福島県福島市成川字久保6-1,
福島市保健所,,オーテックス,37.779308,140.497544,福島県福島市岡部内川原77-8,
福島市保健所,,カンズ・デンタルクラフト,37.7796175,140.4611153,福島県福島市御山字仲ノ町43-3,
福島市保健所,,デンタルラボスズテック,37.78674609999999,140.4409009,福島県福島市笹谷字三本松12-2,
福島市保健所,,ファインデント,37.7907864,140.451958,福島県福島市南矢野目字中屋敷58-10,
福島市保健所,,デンタルパルス,37.8077099,140.4462022,福島県福島市飯坂町平野字乱東後12-13,
福島市保健所,,アズ・デンタル・ラボ,37.7836981,140.4257653,福島県福島市北沢又字稲荷中川原1-76,
福島市保健所,,デンチャー工房緑川,37.7422771,140.4395556,福島県福島市吉倉字八幡69-3,
福島市保健所,,デントクラフト　アドバンス,37.803174,140.4890796,福島県福島市瀬上町字明光町34-2,
福島市保健所,,ヴィジョン,37.8330122,140.4459252,福島県福島市飯坂町字八幡新田1-2,
福島市保健所,,(有)酒井歯科技工所,37.6569323,140.4639527,福島県福島市松川町南諏訪原71-3,
福島市保健所,,K・デンタルラボラトリー,37.7517751,140.4635531,福島県福島市早稲町8-12,
福島市保健所,,デンタルラボ　ホープ,37.7779775,140.4383299,福島県福島市南沢又字中條1-7,
福島市保健所,,カンノデンタルラボ,37.7480832,140.4707495,福島県福島市渡利字大久保７－６,
福島市保健所,,ジャケットデンタルサービス,37.7337092,140.4562557,福島県福島市太平寺字堰ノ上69-1,
福島市保健所,,株式会社DIPS,37.7399603,140.4155276,福島県福島市成川字金田6番地の2,
福島市保健所,,ラボクリエーション.Kanno,37.7333905,140.4740257,福島県福島市小倉寺字敷ヶ森30-3　2F,
福島市保健所,,株式会社ホリエ,37.7229828,140.4768223,福島県福島市南向台1丁目27-13,
福島市保健所,,八木田歯科技研,37.7499042,140.4430597,福島県福島市八木田字榎内30-1,
福島市保健所,,DLメデックス,37.7261586,140.4796761,福島県福島市南向台2-25-3,
福島市保健所,,歯科技工所　ツクルハ,37.7401715,140.4520837,福島県福島市方木田字永屋14-3,
福島市保健所,,デンテック,37.7451329,140.4889645,福島県福島市渡利字舘77-1,
福島市保健所,,菊地歯科補綴,37.78749639999999,140.4784108,福島県福島市丸子字上六反田21-3,
福島市保健所,,安齋デンタルラボラトリー,37.7781467,140.4975704,福島県福島市岡部字内川原95-6,
福島市保健所,,ハセガワデンタルラボ,37.7449628,140.4821912,福島県福島市渡利字鳥谷下町98-1,
福島市保健所,,医療法人陽雄会 SYUデンタルラボ,37.8322515,140.4519032,福島県福島市飯坂町字湯町５番地の１,
福島市保健所,,C・C Lab.株式会社,37.6966616,140.479585,福島県福島市東浜町5-12,
福島市保健所,,合同会社ラボハーツ,37.7261223,140.4793471,福島県福島市南向台2丁目25-1,
福島市保健所,,東部ラボ,37.7712051,140.4986826,福島県福島市岡部字大蔵18-7-101,
福島市保健所,,デンチャーラボラトリー・アベ,37.7764487,140.454811,福島県福島市泉字先達27-6,
福島市保健所,,アップルデンチャー,37.6943037,140.4789817,福島県福島市蓬莱町6-14-6,
