管轄,管理番号,名称,緯度,経度,所在地,電話番号
八戸市保健所,1,Ａｒｔｉｓａｎ　Ｋｅｎ,40.5188519,141.4680595,青森県八戸市長苗代一丁目４－１６,
八戸市保健所,2,アーバンデンタル工房,40.487133,141.5072664,青森県八戸市大字石手洗字京塚１－４５,
八戸市保健所,3,荒町技工所,40.5216886,141.5563979,青森県八戸市大字白銀町字雷４７－３８,
八戸市保健所,4,イナテック,40.5149452,141.4634662,青森県八戸市大字長苗代字窪田１４番地３,
八戸市保健所,5,ウルシダテテクニカルオフィス,40.5189945,141.5174605,青森県八戸市小中野六丁目１８－２１,
八戸市保健所,6,ＡＤクラフト,40.530936,141.4834643,青森県八戸市石堂四丁目２－３０,
八戸市保健所,7,越後有床義歯研究所,40.5168954,141.5316382,青森県八戸市大字湊町字穴畑７－８６,
八戸市保健所,8,ＭＴデンチャーラボ,40.4901727,141.4461862,青森県八戸市大字田面木字上野平９１－５,
八戸市保健所,9,エム・ディー・エル,40.5129488,141.5263082,青森県八戸市大字新井田字風浚１５－１０,
八戸市保健所,10,Ｏ＆Ｎデンタルラボラトリー,40.5087602,141.4969505,青森県八戸市類家一丁目１番８号,
八戸市保健所,11,大嶋デンタル工房,40.5207112,141.4674141,青森県八戸市長苗代一丁目８－３,
八戸市保健所,12,小笠原歯科技工所,40.4844971,141.4842669,青森県八戸市大字糠塚字長久保１－３７,
八戸市保健所,13,加賀歯科技工所,40.5195005,141.5485917,青森県八戸市大字白銀町字小沼７－３０,
八戸市保健所,14,川村デンタルワーク,40.5024958,141.4590572,青森県八戸市大字根城字馬場頭２４－１２,
八戸市保健所,15,川原田歯科技工所,40.5092461,141.4963734,青森県八戸市大字類家字堤端８６,
八戸市保健所,16,共立歯科技工所,40.4904823,141.4788523,青森県八戸市大字沢里字二ツ屋３-３２ｸﾞﾘｰﾝﾊｳｽK101号,
八戸市保健所,17,玄ラボ,40.5059621,141.441181,青森県八戸市大字尻内町字尻内８－１４,
八戸市保健所,18,Ｋークラフト,40.5349041,141.4881943,青森県八戸市下長７丁目６－２０,
八戸市保健所,19,有限会社コスモデンタル,40.516248,141.5668687,青森県八戸市岬台二丁目１３－１９,
八戸市保健所,20,さいとう技研,40.5210035,141.4641942,青森県八戸市大字長苗代字制札前１６－６　,
八戸市保健所,21,有限会社佐藤デンタルラボラトリー,40.5044679,141.4548389,青森県八戸市大字根城字西ノ沢１０２－６,
八戸市保健所,22,ＣＡデンタル,40.51779579999999,141.4772609,青森県八戸市長根四丁目１０―１１,
