"施設名","緯度","経度","住所","電話番号"
"三浦歯科技工所","34.702798","137.711019","浜松市中央区鴨江二丁目33-27","053-453-8895"
"藤谷歯科技工所","34.721114","137.753091","浜松市中央区上西町33-27","053-464-6978"
"有限会社P.D.K","34.709611","137.700253","浜松市中央区佐鳴台四丁目24-8","053-448-8882"
"アイソ・デンタル・ラボラトリー","34.683803","137.659369","浜松市中央区篠原町20354","053-447-1496"
"桐澤歯科技工所","34.719879","137.777189","浜松市中央区天龍川町134","053-464-0209"
"伸和技研","34.722047","137.741458","浜松市中央区新津町577-1","053-463-6031"
"星野歯科技工室","34.697456","137.760299","浜松市中央区本郷町1366-12","053-461-0965"
"中村歯科技工所","34.695028","137.727146","浜松市中央区上浅田一丁目12-15","053-456-7701"
"大津歯科技工所","34.718617","137.739086","浜松市中央区野口町432","053-463-8608"
"アマノデンチャーラボ室","34.779458","137.693920","浜松市中央区花川町85","053-438-0378"
"浜松デンタルエイト","34.700623","137.683674","浜松市中央区入野町9241-3","053-448-4812"
"デンタルファクトリー","34.689262","137.729063","浜松市中央区南浅田二丁目2-21","053-441-8216"
"松本歯科技工所","34.781003","137.766963","浜松市中央区西ケ崎町930-1","053-435-4301"
"デンタルラボNEGI","34.683816","137.743789","浜松市中央区寺脇町358-2","053-442-1255"
"有限会社マキノ・ラボラトリー","34.720858","137.708560","浜松市中央区富塚町200-37","053-471-3648"
"伊藤デンタルラボ","34.777050","137.806751","浜松市中央区豊町3556-3","053-433-4303"
"フジタデンタルスタジオ","34.687856","137.724655","浜松市中央区神田町199-1　ドミール江西203","053-442-4771"
"セラテックデンタルラボラトリー","34.702036","137.672280","浜松市中央区入野町16109-6","053-447-7963"
"キャストデンタルスタジオ","34.740720","137.735371","浜松市中央区上島六丁目13-15","053-472-9975"
"クローバーデンタルラボラトリー","34.749745","137.750961","浜松市中央区有玉南町1814-1","053-475-9551"
"アイラボ","34.699406","137.770190","浜松市中央区三和町862-1","053-462-3699"
"デンタルラボラトリー・ハル","34.713971","137.753713","浜松市中央区将監町3-4","053-464-4697"
"有限会社宏和ラボ","34.772643","137.701600","浜松市中央区葵西五丁目18-20","053-437-7387"
"ADL有限会社","34.713098","137.736861","浜松市中央区中央一丁目6-1","053-454-7677"
"ヨネクラデンタルラボ","34.700515","137.778036","浜松市中央区下飯田町490-1","053-426-3654"
"青島ラボ","34.699900","137.740164","浜松市中央区寺島町422","053-453-2959"
"石原歯科技工所","34.771185","137.783023","浜松市中央区中郡町1858-2","053-434-5690"
"宮木歯科技工所","34.768399","137.639623","浜松市中央区呉松町3559-4","053-487-3205"
"高台ラボ","34.753438","137.725634","浜松市中央区小豆餅二丁目18-10","053-439-0740"
"APラボ","34.721575","137.738839","浜松市中央区助信町13-16","053-466-1188"
"有限会社宏和ラボ　三方原支社","34.774196","137.711238","浜松市中央区三方原町283-6","053-438-1691"
"黒栁歯研","34.674661","137.714114","浜松市中央区米津町1265-2","053-442-6402"
"オブジェデンタルカンパニー","34.742653","137.724551","浜松市中央区幸一丁目15-26","053-474-4900"
"有限会社ノーブル","34.744605","137.711546","浜松市中央区和合町315-1194","053-473-7201"
"遠藤デンタルラボラトリー","34.688092","137.691299","浜松市中央区増楽町697-2","053-449-1006"
"D.C.ラボラトリー","34.705738","137.757199","浜松市中央区渡瀬町809-1","053-465-4328"
"O.F.Pラボラトリー","34.771280","137.719596","浜松市中央区初生町1215-3","053-439-6803"
"野末デンタル工房","34.712759","137.721043","浜松市中央区鹿谷町27-9","053-453-7089"
"Y'sデンタルスタジオ","34.685324","137.750258","浜松市中央区寺脇町672-1","053-442-4235"
"パールデンタル","34.670592","137.723150","浜松市中央区米津町398","053-441-7899"
"マルクデンタルラボ","34.765023","137.788546","浜松市中央区笠井新田町844","053-434-7479"
"ゲンテック","34.759712","137.720465","浜松市中央区高丘東三丁目38-22","053-438-8976"
"デンタルラボ寺田","34.739145","137.728949","浜松市中央区幸二丁目12-16","053-474-0769"
"バイトケア・優","34.748567","137.741237","浜松市中央区上島七丁目17-4","053-412-4050"
"大場デンタルラボ","34.703622","137.745389","浜松市中央区中島一丁目4-25","053-463-6548"
"マルゼン歯科技工室","34.761943","137.671140","浜松市中央区湖東町1169-57","053-486-4284"
"K'sデンタルラボラトリー","34.742391","137.670337","浜松市中央区伊左地町3240","053-485-6765"
"マブネデンタルラボ","34.740158","137.712280","浜松市中央区和合町313-3","053-476-5677"
"牧野デンタルアート","34.735934","137.714558","浜松市中央区和合町179-15","053-473-0020"
"ダックス・デント・ラボ","34.653789","137.775616","浜松市中央区遠州浜四丁目19-3","053-425-5296"
"有限会社足立デンタルラボ","34.797068","137.727361","浜松市中央区三幸町87-11","053-437-3889"
"ウェーブデンチャーラボ","34.683395","137.772967","浜松市中央区立野町333-2","053-426-1011"
"久米デンタルラボラトリー","34.763771","137.751721","浜松市中央区有玉北町1019-2","053-434-6327"
"石津歯科技工室","34.714020","137.745450","浜松市中央区佐藤一丁目31-7","053-464-7265"
"OGI","34.753941","137.744281","浜松市中央区有玉南町988-3","053-432-2033"
"ステージホワイトデンタルラボラトリー","34.735417","137.711900","浜松市中央区和合町317-81","053-474-3348"
"平野歯科技工所","34.764431","137.712777","浜松市中央区高丘東五丁目31-10","053-436-7569"
"ベルデンタルラボ","34.682728","137.660277","浜松市中央区篠原町20392","053-448-7964"
"歯科技工俊光","34.693097","137.698923","浜松市中央区若林町2765-2","053-449-2271"
"角川デンタルラボ","34.683643","137.730696","浜松市中央区瓜内町1935-4","053-443-1461"
"ODT","34.683463","137.735110","浜松市中央区瓜内町1046","053-442-8132"
"アイテック","34.687525","137.688874","浜松市中央区増楽町738-3","053-440-7300"
"歯科工房Yamaguchi","34.773385","137.745040","浜松市中央区半田山四丁目17-8","053-435-0735"
"和デンタルオフィス","34.755796","137.633127","浜松市中央区平松町2-1","053-487-1991"
"野田デンタルラボ","34.703617","137.762040","浜松市中央区渡瀬町106","053-461-1853"
"佐藤デンタルラボ","34.744677","137.710504","浜松市中央区和合町315-1378","053-472-1397"
"鈴元技工","34.683402","137.750761","浜松市中央区寺脇町764-2","053-441-8994"
"ラボラトリー・アイソ","34.743691","137.710813","浜松市中央区和合町315-1025","053-471-3257"
