管理番号,都道府県名-保健所名,歯科技工所名称,郵便番号,歯科技工所所在地,電話番号,開設年月日
1,北海道-中標津保健所,Ｒ．デンタルラボ,086-0202,野付郡別海町別海旭町３７６,0153-75-0805,平成16年11月15日
2,北海道-中標津保健所,ロイヤルクラフト,086-1004,標津郡中標津町東４条南７丁目１６,0153-73-2689,平成11年1月6日
3,北海道-中標津保健所,(有)テクニカル　アンド　アートサプライ,086-1002,標津郡中標津町東２条南４丁目１番地,0153-73-4922,平成18年1月10日
4,北海道-中標津保健所,デンタルラボキタムラ,086-1101,標津郡中標津町西１条南１丁目４番地２,0153-74-0311,平成26年6月2日
5,北海道-中標津保健所,サカギコウ,086-1022,標津郡中標津町東22条南10丁目15番地,090-9759-4394,令和元年９月１７日
1,北海道-根室保健所,厚床歯科技工所,086-0064,根室市厚床２丁目４０番地,,平成元年11月6日
1,北海道-釧路保健所,伊藤隆志歯科医院技工室,085-0813,釧路市春採２丁目３５番２３号,0154-41-3583,昭和55年4月5日
2,北海道-釧路保健所,㈲エヌ・エー・デンタル・ラボ・センター,085-0813,釧路市春採２丁目１０番４号,0154-42-2608,昭和58年11月19日
3,北海道-釧路保健所,堀歯科技工所,088-1111,厚岸郡厚岸町奔渡４丁目１４番地,,昭和59年11月1日
4,北海道-釧路保健所,釧路デンタルラボラトリー,085-0805,釧路市桜ヶ岡６丁目２８番１０号,0154-91-1431,昭和61年11月21日
5,北海道-釧路保健所,㈱モダンデンタルラボラトリー釧路支店,085-0058,釧路市愛国東４丁目３７番３号,0154-37-1180,昭和62年7月20日
6,北海道-釧路保健所,佐藤歯科技工所,085-0016,釧路市美原１丁目３番４号,,昭和56年1月5日
7,北海道-釧路保健所,アイデンタルラボラトリー,085-0061,釧路市芦野２丁目８番９号,0154-36-9512,平成元年4月5日
8,北海道-釧路保健所,西岡歯科技工所,085-0034,釧路市白金町５番６号,,平成元年6月19日
9,北海道-釧路保健所,ロジカル・トゥース・ラボ,085-0806,釧路市武佐３丁目１番１６号,,平成4年9月1日
10,北海道-釧路保健所,㈲木内デンタルサービス,085-0842,釧路市米町２丁目３番４号,0154-41-5630,平成3年3月27日
11,北海道-釧路保健所,布川技研,085-0804,釧路市白樺台２丁目２０番６号,0154-91-2492,平成5年4月1日
12,北海道-釧路保健所,ニシトバデンタルラボラトリー,085-0061,釧路市芦野１丁目２１番１４号,0154-36-5410,平成5年8月26日
13,北海道-釧路保健所,高橋デンタル・ラボ,085-0033,釧路市鳥取北５丁目１３番２号,0154-52-1143,平成6年2月19日
14,北海道-釧路保健所,㈲光清歯研,088-0611,釧路郡釧路町豊美２丁目１番地６,0154-36-9430,平成6年8月8日
15,北海道-釧路保健所,Active（アクティブ）,084-0904,釧路市新富士４丁目１０番１４号,,平成7年5月13日
16,北海道-釧路保健所,石井デンタル・ラボラトリー,084-0910,釧路市昭和中央４丁目８番１０号,0154-51-4032,平成7年7月1日
17,北海道-釧路保健所,愛国技研,085-0057,釧路市愛国西４丁目２１番２号,0154-36-6612,平成8年5月8日
18,北海道-釧路保健所,Ｈ　DENＴAL　LABO　HOUSE,084-0901,釧路市昭和北２丁目１８番１５号,0154-52-7660,平成8年8月26日
19,北海道-釧路保健所,㈲想歯技研,085-0813,釧路市春採４丁目３０番１６号,0154-41-1680,平成9年1月6日
20,北海道-釧路保健所,高野デンタル・ラボラトリー,085-0063,釧路市文苑１丁目１８番地１号,0154-37-6789,平成11年8月16日
21,北海道-釧路保健所,五十嵐歯科技工所,085-0821,釧路市鶴ヶ岱３－９－１１,,昭和57年4月5日
22,北海道-釧路保健所,アイボリー,085-0814,釧路市緑ヶ岡６丁目５番１１号,0154-46-1461,平成12年8月1日
23,北海道-釧路保健所,ＳＳデンタル・クラフト,085-0806,釧路市武佐１丁目３７番２６号,0154-46-4005,平成12年11月4日
24,北海道-釧路保健所,デンタル・ラボ・ツルタ,085-0016,釧路市美原１丁目３５番地１号,0154-36-0850,平成13年4月23日
25,北海道-釧路保健所,ＫＯＵ　ＤＥＮＴＡＬ　ＤＥＳＩＧＮ,085-0832,釧路市富士見１丁目４番２号,0154-41-6399,平成13年12月3日
26,北海道-釧路保健所,イーストデンタルラボラトリー,084-0923,釧路市鶴野東２丁目２２番１号,0154-51-0503,平成15年5月12日
27,北海道-釧路保健所,㈲アート・デンタル・ファクトリー,085-0038,釧路市花園町８番１７号,0154-24-4944,平成15年8月20日
28,北海道-釧路保健所,別井歯研,085-0033,釧路市鳥取北８丁目４番１５号,0154-51-2856,平成16年2月25日
29,北海道-釧路保健所,ＹＤラボ,085-0063,釧路市文苑４丁目３５番４号,0154-37-3522,平成16年7月7日
