管轄,管理番号,名称,緯度,経度,所在地,電話番号
北海道-中標津保健所,1,Ｒ．デンタルラボ,43.3948616,145.1304861,野付郡別海町別海旭町３７６,0153-75-0805
北海道-中標津保健所,2,ロイヤルクラフト,43.5467545,144.9816822,標津郡中標津町東４条南７丁目１６,0153-73-2689
北海道-中標津保健所,3,(有)テクニカル　アンド　アートサプライ,43.5472912,144.9778405,標津郡中標津町東２条南４丁目１番地,0153-73-4922
北海道-中標津保健所,4,デンタルラボキタムラ,43.5466326,144.9726124,標津郡中標津町西１条南１丁目４番地２,0153-74-0311
北海道-中標津保健所,5,サカギコウ,43.5537286,144.999786,標津郡中標津町東22条南10丁目15番地,090-9759-4394
北海道-根室保健所,1,厚床歯科技工所,43.2308244,145.2505691,根室市厚床２丁目４０番地,
北海道-釧路保健所,1,伊藤隆志歯科医院技工室,42.9680628,144.4044954,釧路市春採２丁目３５番２３号,0154-41-3583
北海道-釧路保健所,2,㈲エヌ・エー・デンタル・ラボ・センター,42.9656307,144.4014956,釧路市春採２丁目１０番４号,0154-42-2608
北海道-釧路保健所,3,堀歯科技工所,43.03760260000001,144.8574873,厚岸郡厚岸町奔渡４丁目１４番地,
北海道-釧路保健所,4,釧路デンタルラボラトリー,42.962129,144.4356555,釧路市桜ヶ岡６丁目２８番１０号,0154-91-1431
北海道-釧路保健所,5,㈱モダンデンタルラボラトリー釧路支店,43.0128517,144.3901691,釧路市愛国東４丁目３７番３号,0154-37-1180
北海道-釧路保健所,6,佐藤歯科技工所,43.0161084,144.4053331,釧路市美原１丁目３番４号,
北海道-釧路保健所,7,アイデンタルラボラトリー,43.011956,144.3960993,釧路市芦野２丁目８番９号,0154-36-9512
北海道-釧路保健所,8,西岡歯科技工所,42.9927415,144.379037,釧路市白金町５番６号,
北海道-釧路保健所,9,ロジカル・トゥース・ラボ,42.9834258,144.425663,釧路市武佐３丁目１番１６号,
北海道-釧路保健所,10,㈲木内デンタルサービス,42.971386,144.3744322,釧路市米町２丁目３番４号,0154-41-5630
北海道-釧路保健所,11,布川技研,42.9593705,144.4452599,釧路市白樺台２丁目２０番６号,0154-91-2492
北海道-釧路保健所,12,ニシトバデンタルラボラトリー,43.0138559,144.3990192,釧路市芦野１丁目２１番１４号,0154-36-5410
北海道-釧路保健所,13,高橋デンタル・ラボ,43.0162714,144.3471393,釧路市鳥取北５丁目１３番２号,0154-52-1143
北海道-釧路保健所,14,㈲光清歯研,43.01854000000001,144.4162978,釧路郡釧路町豊美２丁目１番地６,0154-36-9430
北海道-釧路保健所,15,Active（アクティブ）,43.006015,144.3486946,釧路市新富士４丁目１０番１４号,
北海道-釧路保健所,16,石井デンタル・ラボラトリー,43.0233578,144.358341,釧路市昭和中央４丁目８番１０号,0154-51-4032
北海道-釧路保健所,17,愛国技研,43.0184997,144.3778264,釧路市愛国西４丁目２１番２号,0154-36-6612
北海道-釧路保健所,18,Ｈ　DENＴAL　LABO　HOUSE,43.0279674,144.36546,釧路市昭和北２丁目１８番１５号,0154-52-7660
北海道-釧路保健所,19,㈲想歯技研,42.9631867,144.406013,釧路市春採４丁目３０番１６号,0154-41-1680
北海道-釧路保健所,20,高野デンタル・ラボラトリー,43.017712,144.3854954,釧路市文苑１丁目１８番地１号,0154-37-6789
北海道-釧路保健所,21,五十嵐歯科技工所,42.980757,144.4120728,釧路市鶴ヶ岱３－９－１１,
北海道-釧路保健所,22,アイボリー,42.9873633,144.4146071,釧路市緑ヶ岡６丁目５番１１号,0154-46-1461
北海道-釧路保健所,23,ＳＳデンタル・クラフト,42.9783851,144.4293797,釧路市武佐１丁目３７番２６号,0154-46-4005
北海道-釧路保健所,24,デンタル・ラボ・ツルタ,43.01667640000001,144.4080545,釧路市美原１丁目３５番地１号,0154-36-0850
北海道-釧路保健所,25,ＫＯＵ　ＤＥＮＴＡＬ　ＤＥＳＩＧＮ,42.977907,144.3876968,釧路市富士見１丁目４番２号,0154-41-6399
北海道-釧路保健所,26,イーストデンタルラボラトリー,43.0199337,144.3163494,釧路市鶴野東２丁目２２番１号,0154-51-0503
北海道-釧路保健所,27,㈲アート・デンタル・ファクトリー,43.0009507,144.3837225,釧路市花園町８番１７号,0154-24-4944
北海道-釧路保健所,28,別井歯研,43.0190365,144.3365512,釧路市鳥取北８丁目４番１５号,0154-51-2856
北海道-釧路保健所,29,ＹＤラボ,43.0239945,144.3907852,釧路市文苑４丁目３５番４号,0154-37-3522
北海道-釧路保健所,30,創デンタルラボラトリー,43.0405254,144.4738082,釧路郡釧路町緑４丁目５３番地,0154-40-2856
北海道-釧路保健所,31,Ｋ・Ｔデンタル・ラボ,43.00743,144.401645,釧路郡釧路町桂４丁目９番地,0154-37-3751
北海道-釧路保健所,32,渡部歯科技工所,43.015798,144.4195123,釧路郡釧路町雁来１－７７,0154-39-0332
北海道-釧路保健所,33,Y'sデンタルラボ,43.0168702,144.3225561,釧路市星が浦大通２丁目１０番１２号,0154-65-9561
北海道-釧路保健所,34,T・S・Yデンタル,43.0197242,144.3782793,釧路市文苑２丁目４６－２,0154-38-9218
北海道-釧路保健所,35,小林デンタルラボ,42.9643324,144.4081019,釧路市春採４丁目２８番１８号,0154-41-7723
北海道-釧路保健所,36,（有）デンタルラボ・石黒,43.0170819,144.3995341,釧路市芦野３丁目２５番３号,0154-38-5445
北海道-釧路保健所,37,スマイルラインデンタルワークス,42.9952567,144.371187,釧路市喜多町２番２３号,
北海道-釧路保健所,38,デンタルラボ浅里,42.9986867,144.3892612,釧路市中島町１３番３号,
北海道-釧路保健所,39,エリザベース,42.9817064,144.4145142,釧路市緑ヶ岡5-16-9,0154-46-2770
北海道-釧路保健所,40,野上デンタルワークス,42.9783417,144.4264585,釧路市武佐1丁目19番6号,0154-46-7748
北海道-釧路保健所,41,アドバンスド　セラミクス,43.0203968,144.3515213,釧路市昭和南４丁目７番１４号,
北海道-釧路保健所,42,ミルカのアトリエ,42.9975032,144.4361581,釧路郡釧路町東陽西１丁目１－１７,
北海道-釧路保健所,43,星が浦デンタル・ラボ,43.0179907,144.320477,釧路市星が浦北２丁目４－１０,0154-52-2005
北海道-釧路保健所,44,TSデンタルラボ,42.984451,144.3739569,釧路市南浜町６－１３,0154-22-8817
北海道-釧路保健所,45,デンチャーフィールド,43.0203875,144.3479749,釧路市昭和南５丁目１－２７,
北海道-釧路保健所,46,合同会社佐藤デンタルラボラトリー,43.02281259999999,144.3882112,釧路市文苑4丁目２３番１０号,0154-39-4612
北海道-帯広保健所,1,㈲東洋デンタル,42.9215165,143.1896023,帯広市西10条南9丁目5番地,24-7705
北海道-帯広保健所,2,M2デンタルラボワーク,42.920732,143.1637548,帯広市西18条南2丁目11番地62号,33-0352
北海道-帯広保健所,3,㈲デンタルラボ高田,42.9217841,143.1334696,帯広市西22条南2丁目1番地6号,37-4766
