管轄,管理番号,施設名,所在地
岩手県-盛岡市保健所,岩手県-盛岡市-0001,大原歯科技工所,盛岡市加賀野二丁目9-10
岩手県-盛岡市保健所,岩手県-盛岡市-0002,岩手歯研,盛岡市永井24-86-3
岩手県-盛岡市保健所,岩手県-盛岡市-0003,まさやデンタルサービス,盛岡市大館町6-32
岩手県-盛岡市保健所,岩手県-盛岡市-0004,有限会社　小岩デンタル,盛岡市前九年三丁目13-3
岩手県-盛岡市保健所,岩手県-盛岡市-0005,アドバンデンタルラボラトリー,盛岡市上堂三丁目17-40　Ｅ
岩手県-盛岡市保健所,岩手県-盛岡市-0006,米沢デンタルラボ,盛岡市黒川9-12-5
岩手県-盛岡市保健所,岩手県-盛岡市-0007,いしデンタルラボラトリー,盛岡市手代森14-16-18
岩手県-盛岡市保健所,岩手県-盛岡市-0008,こずかた歯研,盛岡市永井23-4-9
岩手県-盛岡市保健所,岩手県-盛岡市-0009,青山デンタルラボセンター,盛岡市月が丘一丁目9-16
岩手県-盛岡市保健所,岩手県-盛岡市-0010,㈲フジテックデンタルラボラトリー,盛岡市津志田26-4-1　2F
岩手県-盛岡市保健所,岩手県-盛岡市-0011,久保田デンタルスタジオ,盛岡市安倍館町18-35
岩手県-盛岡市保健所,岩手県-盛岡市-0012,歯科工房イースト,盛岡市箱清水一丁目25-6
岩手県-盛岡市保健所,岩手県-盛岡市-0013,アーバンデンタル,盛岡市湯沢南一丁目11-12
岩手県-盛岡市保健所,岩手県-盛岡市-0014,ヨシダデンタルラボ,盛岡市三本柳3-10-9
岩手県-盛岡市保健所,岩手県-盛岡市-0015,㈲デンタル　クリエイト,盛岡市浅岸一丁目13番7号
岩手県-盛岡市保健所,岩手県-盛岡市-0016,デンタルラボラトリー　ウチダ,盛岡市小鳥沢一丁目34-15
岩手県-盛岡市保健所,岩手県-盛岡市-0017,㈲デンタルラボラトリーワタナベ,盛岡市桜台一丁目18-1
岩手県-盛岡市保健所,岩手県-盛岡市-0018,㈲デンタルアート,盛岡市月が丘三丁目46-51
岩手県-盛岡市保健所,岩手県-盛岡市-0019,ＡＣＴＩＶＥ（アクティブ）,盛岡市黒石野3-20-3
岩手県-盛岡市保健所,岩手県-盛岡市-0020,㈲ムトウデンタルブレイン,盛岡市前九年三丁目19-52
岩手県-盛岡市保健所,岩手県-盛岡市-0021,㈱アイ・ディー・エル盛岡営業所,盛岡市前九年二丁目5-2
岩手県-盛岡市保健所,岩手県-盛岡市-0022,アップルハート,盛岡市三本柳1-12-2
岩手県-盛岡市保健所,岩手県-盛岡市-0023,折戸デンタルラボラトリー,盛岡市津志田12-7-7
岩手県-盛岡市保健所,岩手県-盛岡市-0024,小山田歯科技工所,盛岡市北松園4-17-5
岩手県-盛岡市保健所,岩手県-盛岡市-0025,ＨＩＮＡＩ．Ｄ．Ｌ,盛岡市手代森14-16-251
岩手県-盛岡市保健所,岩手県-盛岡市-0026,相澤デンタルラボラトリー,盛岡市東中野字五輪4-5
岩手県-盛岡市保健所,岩手県-盛岡市-0027,㈲オーラルアート,盛岡市小鳥沢二丁目33-24
岩手県-盛岡市保健所,岩手県-盛岡市-0028,歯科技工　ＤＥＮＴ,盛岡市高松四丁目14-8
岩手県-盛岡市保健所,岩手県-盛岡市-0029,Ｍ．ＳＴＹＬＥ,盛岡市月が丘3-47-36
岩手県-盛岡市保健所,岩手県-盛岡市-0030,デンタルラボラトリー　ラボックス,盛岡市長田町21-14
岩手県-盛岡市保健所,岩手県-盛岡市-0031,盛岡デンタルセンター,盛岡市大沢川原３丁目５－１３
岩手県-盛岡市保健所,岩手県-盛岡市-0032,ヨシキデンタルラボ,盛岡市城西町13-63
岩手県-盛岡市保健所,岩手県-盛岡市-0033,トウホウデンタルラボラトリー,盛岡市天昌寺町1-16
岩手県-盛岡市保健所,岩手県-盛岡市-0034,熊谷デンタルラボラトリー,盛岡市山岸四丁目29-17
岩手県-盛岡市保健所,岩手県-盛岡市-0035,イシキデンタル,盛岡市向中野二丁目12-11
岩手県-盛岡市保健所,岩手県-盛岡市-0036,有限会社ＤＥＮＴＡＬ・Ｍ・ＴＥＣ,盛岡市上飯岡15-114-2
岩手県-盛岡市保健所,岩手県-盛岡市-0037,前田デンタルラボ,盛岡市黒石野三丁目22-15　コートドール１Ｃ
