管轄,管理番号,名称,緯度,経度,所在地,電話番号
岩手県-盛岡市保健所,岩手県-盛岡市-0001,大原歯科技工所,39.70787720000001,141.1663971,岩手県盛岡市加賀野二丁目9-10,
岩手県-盛岡市保健所,岩手県-盛岡市-0002,岩手歯研,39.6537858,141.1479742,岩手県盛岡市永井24-86-3,
岩手県-盛岡市保健所,岩手県-盛岡市-0003,まさやデンタルサービス,39.7143031,141.1132384,岩手県盛岡市大館町6-32,
岩手県-盛岡市保健所,岩手県-盛岡市-0004,有限会社　小岩デンタル,39.7172622,141.1236238,岩手県盛岡市前九年三丁目13-3,
岩手県-盛岡市保健所,岩手県-盛岡市-0005,アドバンデンタルラボラトリー,39.7286744,141.1282923,岩手県盛岡市上堂三丁目17-40　Ｅ,
岩手県-盛岡市保健所,岩手県-盛岡市-0006,米沢デンタルラボ,39.63738960000001,141.2097624,岩手県盛岡市黒川9-12-5,
岩手県-盛岡市保健所,岩手県-盛岡市-0007,いしデンタルラボラトリー,39.6532583,141.2017214,岩手県盛岡市手代森14-16-18,
岩手県-盛岡市保健所,岩手県-盛岡市-0008,こずかた歯研,39.6537858,141.1479742,岩手県盛岡市永井23-4-9,
岩手県-盛岡市保健所,岩手県-盛岡市-0009,青山デンタルラボセンター,39.73085469999999,141.1109474,岩手県盛岡市月が丘一丁目9-16,
岩手県-盛岡市保健所,岩手県-盛岡市-0010,㈲フジテックデンタルラボラトリー,39.6637187,141.1453408,岩手県盛岡市津志田26-4-1　2F,
岩手県-盛岡市保健所,岩手県-盛岡市-0011,久保田デンタルスタジオ,39.72083569999999,141.1250033,岩手県盛岡市安倍館町18-35,
岩手県-盛岡市保健所,岩手県-盛岡市-0012,歯科工房イースト,39.7340789,141.1320158,岩手県盛岡市箱清水一丁目25-6,
岩手県-盛岡市保健所,岩手県-盛岡市-0013,アーバンデンタル,39.6378375,141.0953417,岩手県盛岡市湯沢南一丁目11-12,
岩手県-盛岡市保健所,岩手県-盛岡市-0014,ヨシダデンタルラボ,39.6529568,141.1708301,岩手県盛岡市三本柳3-10-9,
岩手県-盛岡市保健所,岩手県-盛岡市-0015,㈲デンタル　クリエイト,39.712691,141.1757708,岩手県盛岡市浅岸一丁目13番7号,
岩手県-盛岡市保健所,岩手県-盛岡市-0016,デンタルラボラトリー　ウチダ,39.7640577,141.1645366,岩手県盛岡市小鳥沢一丁目34-15,
岩手県-盛岡市保健所,岩手県-盛岡市-0017,㈲デンタルラボラトリーワタナベ,39.7541385,141.1929391,岩手県盛岡市桜台一丁目18-1,
岩手県-盛岡市保健所,岩手県-盛岡市-0018,㈲デンタルアート,39.7376264,141.106775,岩手県盛岡市月が丘三丁目46-51,
岩手県-盛岡市保健所,岩手県-盛岡市-0019,ＡＣＴＩＶＥ（アクティブ）,39.7436592,141.142734,岩手県盛岡市黒石野3-20-3,
岩手県-盛岡市保健所,岩手県-盛岡市-0020,㈲ムトウデンタルブレイン,39.7207696,141.1189371,岩手県盛岡市前九年三丁目19-52,
岩手県-盛岡市保健所,岩手県-盛岡市-0021,㈱アイ・ディー・エル盛岡営業所,39.7156159,141.1277672,岩手県盛岡市前九年二丁目5-2,
岩手県-盛岡市保健所,岩手県-盛岡市-0022,アップルハート,39.6529568,141.1708301,岩手県盛岡市三本柳1-12-2,
岩手県-盛岡市保健所,岩手県-盛岡市-0023,折戸デンタルラボラトリー,39.7587946,141.1638919,岩手県盛岡市津志田12-7-7,
岩手県-盛岡市保健所,岩手県-盛岡市-0024,小山田歯科技工所,39.7599612,141.172982,岩手県盛岡市北松園4-17-5,
岩手県-盛岡市保健所,岩手県-盛岡市-0025,ＨＩＮＡＩ．Ｄ．Ｌ,39.6532583,141.2017214,岩手県盛岡市手代森14-16-251,
岩手県-盛岡市保健所,岩手県-盛岡市-0026,相澤デンタルラボラトリー,39.6833395,141.1650442,岩手県盛岡市東中野字五輪4-5,
岩手県-盛岡市保健所,岩手県-盛岡市-0027,㈲オーラルアート,39.7654982,141.1650309,岩手県盛岡市小鳥沢二丁目33-24,
岩手県-盛岡市保健所,岩手県-盛岡市-0028,歯科技工　ＤＥＮＴ,39.727565,141.1379103,岩手県盛岡市高松四丁目14-8,
岩手県-盛岡市保健所,岩手県-盛岡市-0029,Ｍ．ＳＴＹＬＥ,39.7389324,141.1053963,岩手県盛岡市月が丘3-47-36,
岩手県-盛岡市保健所,岩手県-盛岡市-0030,デンタルラボラトリー　ラボックス,39.7097453,141.1411757,岩手県盛岡市長田町21-14,
岩手県-盛岡市保健所,岩手県-盛岡市-0031,盛岡デンタルセンター,39.6995447,141.1423842,岩手県盛岡市大沢川原３丁目５－１３,
岩手県-盛岡市保健所,岩手県-盛岡市-0032,ヨシキデンタルラボ,39.7058427,141.1271814,岩手県盛岡市城西町13-63,
岩手県-盛岡市保健所,岩手県-盛岡市-0033,トウホウデンタルラボラトリー,39.7091814,141.1215832,岩手県盛岡市天昌寺町1-16,
岩手県-盛岡市保健所,岩手県-盛岡市-0034,熊谷デンタルラボラトリー,39.7242876,141.1729241,岩手県盛岡市山岸四丁目29-17,
岩手県-盛岡市保健所,岩手県-盛岡市-0035,イシキデンタル,39.683899,141.1400952,岩手県盛岡市向中野二丁目12-11,
岩手県-盛岡市保健所,岩手県-盛岡市-0036,有限会社ＤＥＮＴＡＬ・Ｍ・ＴＥＣ,39.6688076,141.1039977,岩手県盛岡市上飯岡15-114-2,
岩手県-盛岡市保健所,岩手県-盛岡市-0037,前田デンタルラボ,39.7437424,141.1420761,岩手県盛岡市黒石野三丁目22-15　コートドール１Ｃ,
岩手県-盛岡市保健所,岩手県-盛岡市-0038,かたびらデンタルラボ,39.7419342,141.1286892,岩手県盛岡市厨川一丁目19-17,
岩手県-盛岡市保健所,岩手県-盛岡市-0039,Ｃ－ＴＥＣ,39.7289706,141.1412902,岩手県盛岡市高松三丁目11-35,
岩手県-盛岡市保健所,岩手県-盛岡市-0040,デンタルラボ・ダイモン,39.68040980000001,141.1834994,岩手県盛岡市川目第13地割192-1,
岩手県-盛岡市保健所,岩手県-盛岡市-0041,アキラデンタルラボラトリー,39.710368,141.1788402,岩手県盛岡市つつじが丘4-13,
岩手県-盛岡市保健所,岩手県-盛岡市-0042,デンタルラボ村木,39.65911639999999,141.1481526,岩手県盛岡市津志田西二丁目19-43,
岩手県-盛岡市保健所,岩手県-盛岡市-0043,歯科工房クレド,39.7362907,141.1098326,岩手県盛岡市月が丘三丁目32-24,
岩手県-盛岡市保健所,岩手県-盛岡市-0044,キャストクラフト,39.7136971,141.1677637,岩手県盛岡市山岸二丁目12-18,
岩手県-盛岡市保健所,岩手県-盛岡市-0045,野中デンタルラボ,39.7022666,141.1596135,岩手県盛岡市若園町10-2,
岩手県-盛岡市保健所,岩手県-盛岡市-0046,盛南デンタルラボ,39.6637187,141.1453408,岩手県盛岡市津志田５－２,
岩手県-盛岡市保健所,岩手県-盛岡市-0047,Ｆｕｍｉ　Ｄｅｎｔａｌ　Ｃｒｅａｔｉｏｎ,39.6788891,141.1473779,岩手県盛岡市向中野４丁目3-28,
岩手県-盛岡市保健所,岩手県-盛岡市-0048,ｇｒａｔＤＥＸ,39.7225507,141.1246211,岩手県盛岡市上堂１丁目６-６　２Ｆ,
岩手県-盛岡市保健所,岩手県-盛岡市-0049,たきむら　オーソ・ラボラトリー,39.6801524,141.1064705,岩手県盛岡市上鹿妻田貝2-3,
岩手県-盛岡市保健所,岩手県-盛岡市-0050,Denture　工房,39.7148897,141.1234187,岩手県盛岡市前九年二丁目16番11号,
岩手県-盛岡市保健所,岩手県-盛岡市-0051,Rise Art 株式会社,39.6986524,141.1580316,岩手県盛岡市中ノ橋通一丁目7番1　エスビル中ノ橋3F,
岩手県-盛岡市保健所,岩手県-盛岡市-0052,古舘技工所,39.7380208,141.1482382,岩手県盛岡市緑が丘三丁目33-10,
岩手県-盛岡市保健所,岩手県-盛岡市-0053,金泉デンタル・ラボラトリー,39.6968898,141.115202,岩手県盛岡市下太田沢田80-2,
岩手県-盛岡市保健所,岩手県-盛岡市-0054,ウスザワデンタルラボラトリー,39.7246056,141.1248993,岩手県盛岡市上堂一丁目4番26号,
岩手県-盛岡市保健所,岩手県-盛岡市-0055,有限会社関錦二郎商店,39.7037499,141.1449965,岩手県盛岡市大通二丁目6番14号,
岩手県-盛岡市保健所,岩手県-盛岡市-0056,永洞ラボ,39.63738960000001,141.2097624,岩手県盛岡市黒川8-16-7,
岩手県-盛岡市保健所,岩手県-盛岡市-0057,Dental.E,39.63738960000001,141.2097624,岩手県盛岡市黒川8-16-7,
岩手県-盛岡市保健所,岩手県-盛岡市-0058,林ラボ,39.63738960000001,141.2097624,岩手県盛岡市黒川8-16-7,
岩手県-盛岡市保健所,岩手県-盛岡市-0059,タテックス,39.6529568,141.1708301,岩手県盛岡市三本柳７－１９－２１,
岩手県-盛岡市保健所,岩手県-盛岡市-0060,ｄｅｎｔｕｒｅ　ｌａｂｏ．Ｌｉｂｒｅ,39.7257653,141.1109308,岩手県盛岡市青山二丁目23-5,
岩手県-盛岡市保健所,岩手県-盛岡市-0061,サニーデンタル,39.7156756,141.1250048,岩手県盛岡市前九年２丁目10-39,
岩手県-盛岡市保健所,岩手県-盛岡市-0062,入れ歯　やはた屋,39.7076189,141.1333734,岩手県盛岡市夕顔瀬町2-9,
岩手県-盛岡市保健所,岩手県-盛岡市-0063,Dental Labo Lien,39.753089,141.1943096,岩手県盛岡市桜台１丁目14-11,
岩手県-盛岡市保健所,岩手県-盛岡市-0064,河南歯研,39.7345014,141.1094279,岩手県盛岡市津志田27-45-2,
岩手県-盛岡市保健所,岩手県-盛岡市-0065,ウエストデンタルラボ,39.737728,141.1074778,岩手県盛岡市月が丘３丁目３９－２５,
岩手県-盛岡市保健所,岩手県-盛岡市-0066,Dental Labo Trust,39.6924048,141.1223931,岩手県盛岡市本宮５丁目２－３　宮野アパート２階,
岩手県-県央保健所,岩手県-県央-0001,松江ラボ,39.7478273,141.1140943,岩手県滝沢市穴口447-15,
