管轄,管理番号,名称,緯度,経度,所在地,電話番号
気仙沼保健所,宮城県－気仙沼－０００１,高橋デンタルラボ,38.7274722,141.5121461,宮城県本吉郡南三陸町歌津吉野沢６１－１１３,
気仙沼保健所,宮城県－気仙沼－０００３,オヤマデンタルラボ,38.8914161,141.5542562,宮城県気仙沼市字常楽７６－６,
気仙沼保健所,宮城県－気仙沼－０００４,デンタル・ワークス村上,38.879013,141.5878291,宮城県気仙沼市字松崎前浜６０－８,
気仙沼保健所,宮城県－気仙沼－０００５,大内デンタル・ラボ,38.9028012,141.5375653,宮城県気仙沼市字百目木１３－１６,
気仙沼保健所,宮城県－気仙沼－０００７,フジ・デンタルラボラトリー,38.9700827,141.5614474,宮城県気仙沼市字上東側根９６,
気仙沼保健所,宮城県－気仙沼－０００８,加納歯科技工所,38.7938623,141.5094824,宮城県気仙沼市本吉町津谷舘岡８０－１１,
気仙沼保健所,宮城県－気仙沼－０００９,斉藤歯科技工所,38.9041021,141.5714384,宮城県気仙沼市南町１－２－２４,
気仙沼保健所,宮城県－気仙沼－００１０,宮崎歯科技工所,38.8775316,141.5797733,宮城県気仙沼市松崎浦田６３－１７,
気仙沼保健所,宮城県－気仙沼－００１２,デンタルスタジオプラスワン,38.7932189,141.5075835,宮城県気仙沼市本吉町津谷舘岡31－5,
気仙沼保健所,宮城県－気仙沼－００１３,リアス技工所,38.7865783,141.5060146,宮城県気仙沼市本吉町津谷松尾52－4,
気仙沼保健所,宮城県－気仙沼－００１４,ファミリーデンタルラボラトリー,38.8912025,141.5665133,宮城県気仙沼市田中前2-6-8,
石巻保健所,宮城県－石巻－０００１,石巻デンタルワーク,38.4358708,141.3015534,宮城県石巻市駅前北通り3-1-9,
石巻保健所,宮城県－石巻－０００３,株式会社　技工や,38.4318917,141.2773885,宮城県石巻市大街道西1-6-21,
石巻保健所,宮城県－石巻－０００５,有限会社ペルーラ横山,38.4236955,141.2971536,宮城県石巻市大手町8-10,
石巻保健所,宮城県－石巻－０００６,高橋歯科技工所,38.4988684,141.3185481,宮城県石巻市大森字内田1-127,
石巻保健所,宮城県－石巻－０００７,佐藤歯科技工所,38.4962548,141.2416829,宮城県石巻市鹿又字穴口前40-1,
石巻保健所,宮城県－石巻－０００８,デンタルラボ津田,38.4871715,141.2868837,宮城県石巻市鹿又字天王前17-14,
石巻保健所,宮城県－石巻－０００９,（有）デンタルラボ冨永,38.4640106,141.2885674,宮城県石巻市鹿又字山下東62-1,
石巻保健所,宮城県－石巻－００１０,アイデンタルラボラトリー,38.49791039999999,141.2021535,宮城県石巻市北村字小崎一15-3,
石巻保健所,宮城県－石巻－００１１,デントテクニックス,38.4489981,141.2804719,宮城県石巻市向陽町3-16-15,
石巻保健所,宮城県－石巻－００１２,サトウデンタルクラフト,38.4482118,141.2780565,宮城県石巻市向陽町3－3－5,
石巻保健所,宮城県－石巻－００１３,加美山歯科技工所,38.4363254,141.2849396,宮城県石巻市貞山4-2-6,
石巻保健所,宮城県－石巻－００１５,有限会社セントラル歯研,38.43724110000001,141.2888951,宮城県石巻市錦町5-13,
