管轄,管理番号,名称,緯度,経度,所在地,電話番号
仙台市保健所,04-01-1001,有限会社歯科ニュージャパンラボ,38.2733251,140.8698229,宮城県仙台市青葉区上杉2-3-40,
仙台市保健所,04-01-1002,仙台タイコニウム,38.259971,140.869628,宮城県仙台市青葉区大町1-1-18　東邦歯科診療所内,
仙台市保健所,04-01-1003,東洋歯研工業㈱,38.2862491,140.8715022,宮城県仙台市青葉区台原2-10-5,
仙台市保健所,04-01-1004,クリーン・デンタル・ラボラトリー,38.3046819,140.8353257,宮城県仙台市青葉区川平4-23-25,
仙台市保健所,04-01-1005,クリスタル歯研,38.2827533,140.8370907,宮城県仙台市青葉区貝ヶ森4-10-11,
仙台市保健所,04-01-1006,千代田歯研,38.2835704,140.8466621,宮城県仙台市青葉区千代田町12-2,
仙台市保健所,04-01-1007,エムアートデンタルラボラトリー,38.2701589,140.888887,宮城県仙台市青葉区小田原7-5-46　桜荘101,
仙台市保健所,04-01-1008,国見ヶ丘ラボ,38.2889036,140.8265084,宮城県仙台市青葉区国見ヶ丘4-5-5　２F,
仙台市保健所,04-01-1009,茶水デンタルラボラトリー,38.2904253,140.845482,宮城県仙台市青葉区中山1-19-8,
仙台市保健所,04-01-1010,デンタルＳＯＳ,38.2940855,140.7471667,宮城県仙台市青葉区赤坂2-6-5,
仙台市保健所,04-01-1011,ファイン・デンタル･ラボラトリー,38.2804285,140.8970328,宮城県仙台市青葉区高松3-18-30,
仙台市保健所,04-01-1012,横田技工,38.2733766,140.8800499,宮城県仙台市青葉区上杉4-6-50,
仙台市保健所,04-01-1013,有限会社　ティーアイデンタルオフィス,38.2631124,140.8692143,宮城県仙台市青葉区国分町2-5-10　５F,
仙台市保健所,04-01-1014,シバタデンタルラボ,38.2750418,140.8376996,宮城県仙台市青葉区国見5-10-19,
仙台市保健所,04-01-1015,くさなぎオーソテクニカル,38.30536310000001,140.8335685,宮城県仙台市青葉区川平4-27-22,
仙台市保健所,04-01-1016,タートルデンタル,38.2903765,140.747706,宮城県仙台市青葉区芋沢字赤坂３７－Ａ,
仙台市保健所,04-01-1017,デントオール,38.3124647,140.7665426,宮城県仙台市青葉区みやぎ台4-20-7,
仙台市保健所,04-01-1018,Dental　Tec　スクーデリア  ,38.251333,140.873612,宮城県仙台市青葉区米ヶ袋2-1-9-306,
仙台市保健所,04-01-1019,Ｎ・Ｄ・ラボ,38.2793388,140.8604266,宮城県仙台市青葉区木町14-5,
仙台市保健所,04-01-1020,小向デンタルラボ,38.2798925,140.8830877,宮城県仙台市青葉区東照宮1-17-1-523,
仙台市保健所,04-01-1021,デンタルラボ　ノア,38.2625598,140.8452773,宮城県仙台市青葉区川内三十人町28-5　２階,
