管轄,管理番号,名称,所在地,電話番号,開設者,管理者,開設年月日
村山保健所,山形県-村山保健所-001,有限会社東武ﾃﾞﾝﾀﾙﾗﾎﾞﾗﾄﾘｰ,西川町大字睦合丙502-1,0237-74-3185,有限会社東武,佐藤 明,S51.7.1
村山保健所,山形県-村山保健所-002,寒河江デンタルラボラトリー,寒河江市大字寒河江字土井ノ内20-1,0237-86-9616,兼子 利信,兼子 利信,S59.10.8
村山保健所,山形県-村山保健所-003,ＡＧM歯科補綴研究所,河北町溝延139-3,0237-72-7267,江目 光信,江目 光信,S61.1.8
村山保健所,山形県-村山保健所-004,芳賀デンタル･ラボラトリー,寒河江市大字西根字石川下1996,0237-86-8462,芳賀 邦吉,芳賀 邦吉,S61.3.31
村山保健所,山形県-村山保健所-005,スズキデンタルラボオフィス,寒河江市元町4-6-8,0237-86-9121,鈴木 武,鈴木 武,S61.4.11
村山保健所,山形県-村山保健所-006,プロテックデンタルラボラトリー,中山町大字長崎54,023-662-5202,黒沼 知廣,黒沼 知廣,S62.4.6
村山保健所,山形県-村山保健所-007,松沢デンタル・ラボ,山辺町近江3-35,023-665-7145,松沢 俊夫,松沢 俊夫,S62.7.22
村山保健所,山形県-村山保健所-008,小林歯科技工所,天童市大字荒谷393-87,023-654-6753,小林 守夫,小林 守夫,H2.7.1
村山保健所,山形県-村山保健所-009,サイトウ・デンタル・ラボ,東根市大林新田18-89,0237-42-2259,斎藤 弘也,斎藤 弘也,H2.7.7
村山保健所,山形県-村山保健所-010,ＴＦデンタルラボラトリー,寒河江市大字白岩6105-2,0237-87-1790,布施 忠,布施 忠,H3.9.29
村山保健所,山形県-村山保健所-011,IQデンタルラボラトリー,天童市大町213,023-653-7127,上林 淳,上林 淳,H3.12.1
村山保健所,山形県-村山保健所-012,鈴木技研,中山町大字金沢80-2,023-662-4612,鈴木 治,鈴木 治,H4.6.14
村山保健所,山形県-村山保健所-013,青柳歯科技工所,村山市大字白鳥1048-3,0237-56-2305,青柳 茂,青柳 茂,H5.10.7
村山保健所,山形県-村山保健所-014,有限会社奥山歯科技研,寒河江市栄町2-6,0237-86-3190,有限会社奥山歯科技研,奥山 俊之,H6.8.1
村山保健所,山形県-村山保健所-015,シャイン・デンタル・ラボラトリー,山辺町大字山辺2871-11,023-667-7734,佐藤 義治,佐藤 義治,H8.5.1
村山保健所,山形県-村山保健所-016,ＳＤＬ鈴木デンタルラボラトリー,東根市大字若木6046-8,0237-47-0838,鈴木 隆,鈴木 隆,H8.5.8
村山保健所,山形県-村山保健所-017,藤デンタルラボラトリー,天童市大字寺津262-6,023-651-3927,佐藤 克,佐藤 克,H9.1.1
村山保健所,山形県-村山保健所-018,青木歯科技工所,大石田町大字大石田乙727-9,0237-35-2790,青木 文男,青木 文男,H9.9.25
村山保健所,山形県-村山保健所-019,Ｎ/Ｓデンタルワーク,天童市東長岡3-6-12,023-655-4744,笹原 信義,笹原 信義,H10.3.23
村山保健所,山形県-村山保健所-020,さとうデンタルクリエイト,東根市中央1-12-1,0237-43-1105,佐藤 孝次,佐藤 孝次,H10.4.11
村山保健所,山形県-村山保健所-021,NTラボ,中山町大字長崎4287-8,023-662-6281,新田 文広,新田 文広,H10.10.1
村山保健所,山形県-村山保健所-022,後藤デンタルラボラトリー,天童市大字東芳賀3-12-19,023-658-7337,後藤 紀明,後藤 紀明,H12.3.18
村山保健所,山形県-村山保健所-023,有限会社ラボテックデンタルワークス,尾花沢市新町5-1-23,0237-24-0521,(有)ﾗﾎﾞﾃｯｸﾃﾞﾝﾀﾙﾜｰｸｽ,舘野 茂幸,H12.7.7
