管轄,管理番号,名称,緯度,経度,所在地,電話番号
村山保健所,山形県-村山保健所-001,有限会社東武ﾃﾞﾝﾀﾙﾗﾎﾞﾗﾄﾘｰ,38.4268043,140.180647,山形県西川町大字睦合丙502-1,0237-74-3185
村山保健所,山形県-村山保健所-002,寒河江デンタルラボラトリー,38.3663067,140.277228,山形県寒河江市大字寒河江字土井ノ内20-1,0237-86-9616
村山保健所,山形県-村山保健所-003,ＡＧM歯科補綴研究所,38.3942725,140.3126153,山形県河北町溝延139-3,0237-72-7267
村山保健所,山形県-村山保健所-004,芳賀デンタル･ラボラトリー,38.3872573,140.2876137,山形県寒河江市大字西根字石川下1996,0237-86-8462
村山保健所,山形県-村山保健所-005,スズキデンタルラボオフィス,38.3686982,140.2701481,山形県寒河江市元町4-6-8,0237-86-9121
村山保健所,山形県-村山保健所-006,プロテックデンタルラボラトリー,38.3313421,140.2849727,山形県中山町大字長崎54,023-662-5202
村山保健所,山形県-村山保健所-007,松沢デンタル・ラボ,38.2820214,140.2713364,山形県山辺町近江3-35,023-665-7145
村山保健所,山形県-村山保健所-008,小林歯科技工所,38.3139816,140.3973921,山形県天童市大字荒谷393-87,023-654-6753
村山保健所,山形県-村山保健所-009,サイトウ・デンタル・ラボ,38.4350213,140.3855342,山形県東根市大林新田18-89,0237-42-2259
村山保健所,山形県-村山保健所-010,ＴＦデンタルラボラトリー,38.4080072,140.2289096,山形県寒河江市大字白岩6105-2,0237-87-1790
村山保健所,山形県-村山保健所-011,IQデンタルラボラトリー,38.3892562,140.3476654,山形県天童市大町213,023-653-7127
村山保健所,山形県-村山保健所-012,鈴木技研,38.3196827,140.2614451,山形県中山町大字金沢80-2,023-662-4612
村山保健所,山形県-村山保健所-013,青柳歯科技工所,38.5022227,140.3234332,山形県村山市大字白鳥1048-3,0237-56-2305
村山保健所,山形県-村山保健所-014,有限会社奥山歯科技研,38.3697675,140.2781644,山形県寒河江市栄町2-6,0237-86-3190
村山保健所,山形県-村山保健所-015,シャイン・デンタル・ラボラトリー,38.2949081,140.2786818,山形県山辺町大字山辺2871-11,023-667-7734
村山保健所,山形県-村山保健所-016,ＳＤＬ鈴木デンタルラボラトリー,38.3978385,140.3922199,山形県東根市大字若木6046-8,0237-47-0838
村山保健所,山形県-村山保健所-017,藤デンタルラボラトリー,38.3428866,140.3186822,山形県天童市大字寺津262-6,023-651-3927
村山保健所,山形県-村山保健所-018,青木歯科技工所,38.5919445,140.3815133,山形県大石田町大字大石田乙727-9,0237-35-2790
村山保健所,山形県-村山保健所-019,Ｎ/Ｓデンタルワーク,38.3625629,140.3770219,山形県天童市東長岡3-6-12,023-655-4744
村山保健所,山形県-村山保健所-020,さとうデンタルクリエイト,38.432721,140.394581,山形県東根市中央1-12-1,0237-43-1105
村山保健所,山形県-村山保健所-021,NTラボ,38.3347462,140.2698745,山形県中山町大字長崎4287-8,023-662-6281
村山保健所,山形県-村山保健所-022,後藤デンタルラボラトリー,38.3389237,140.3668573,山形県天童市大字東芳賀3-12-19,023-658-7337
村山保健所,山形県-村山保健所-023,有限会社ラボテックデンタルワークス,38.6091107,140.4177368,山形県尾花沢市新町5-1-23,0237-24-0521
村山保健所,山形県-村山保健所-024,グリーンデンタル寒河江,38.3831361,140.2569508,山形県寒河江市緑町32-2,0237-77-6970
村山保健所,山形県-村山保健所-025,サトウ･デンタルスタジオ,38.3702304,140.2918612,山形県寒河江市新山町13-1,0237-83-3234
村山保健所,山形県-村山保健所-026,穴山歯科技工所,38.168886,140.2846412,山形県上山市四ツ谷1-12-17,023-673-5550
村山保健所,山形県-村山保健所-027,サンデント,38.416663,140.3182821,山形県河北町谷地丙80-2,0237-73-4012
村山保健所,山形県-村山保健所-028,オークナビデンタル,38.3372205,140.2853089,山形県中山町あおば5-2,023-662-7520
村山保健所,山形県-村山保健所-029,有限会社大沼歯科精密,38.3805369,140.2763569,山形県寒河江市丸内3-1-5,0237-85-9236
村山保健所,山形県-村山保健所-030,スズキデンタルアシスタンス,38.4090722,140.2276883,山形県寒河江市白岩212-5,0237-87-3591
村山保健所,山形県-村山保健所-031,（有）オクヤマデンタルアート,38.3459952,140.3725749,山形県天童市北目2-5-29,023-653-9726
村山保健所,山形県-村山保健所-032,ＪＩＮデンタルラボラトリー,38.3694356,140.2874658,山形県寒河江市高田1-11-17,0237-85-3013
村山保健所,山形県-村山保健所-033,ヘルス　コア　ジャパン,38.3271688,140.3626764,山形県天童市中里6-2-13,023-658-4155
村山保健所,山形県-村山保健所-034,サトミ・デンタルラボラトリー,38.3657977,140.4034008,山形県天童市大字山元2173-1,023-654-4415
村山保健所,山形県-村山保健所-035,あびこデンタル･ラボ,38.3754776,140.2694244,山形県寒河江市大字寒河江甲1742-14,0237-86-4161
村山保健所,山形県-村山保健所-036,秋葉デンタルラボ,38.3861973,140.2589579,山形県寒河江市緑町200-3,0237-85-4868
村山保健所,山形県-村山保健所-037,田島デンタルラボオフィス,38.3707729,140.3807845,山形県天童市東久野本2-7-10,023-653-0765
村山保健所,山形県-村山保健所-038,（有）芳賀デンタルラボ,38.3428822,140.3654953,山形県天童市芳賀タウン北6-2-8,023-654-6461
村山保健所,山形県-村山保健所-039,㈱F・F・M,38.3390376,140.3608022,山形県天童市芳賀タウン南3-11-3,
村山保健所,山形県-村山保健所-040,村上デンタルラボ,38.1542097,140.2672724,山形県上山市河崎2-8-18,023-616-6186
村山保健所,山形県-村山保健所-041,ORAL　PHYSIOLOGIC　ART　LABORATORY,38.2890089,140.2654356,山形県山辺町山辺3501,023-607-3827
最上保健所,山形県-最上保健所-001,高橋歯科技工所,38.7574282,140.2973543,山形県新庄市下田町６－２,0233-22-6527
最上保健所,山形県-最上保健所-002,水澤歯科技工所,38.7711222,140.299047,山形県新庄市沼田町５－６,0233-22-1916
最上保健所,山形県-最上保健所-003,庄司歯科技工所,38.7617578,140.2858433,山形県新庄市千門町１３－１,0233-22-2738
最上保健所,山形県-最上保健所-004,デンタルラボ廣野,38.81232240000001,140.3273055,山形県新庄市大字泉田字村東１２,0233-25-2136
最上保健所,山形県-最上保健所-005,小田中歯科技工所,38.735121,140.3130444,山形県新庄市鳥越１８１２－４１,0233-29-2742
最上保健所,山形県-最上保健所-006,塙歯科技工所,38.769338,140.2964139,山形県新庄市石川町１－５７,0233-22-4123
最上保健所,山形県-最上保健所-007,城南デンタル・ラボラトリー,38.76100350000001,140.2933542,山形県新庄市城南町３－１,0233-22-0125
最上保健所,山形県-最上保健所-008,渡部歯科技研,38.7835287,140.3069475,山形県新庄市十日町７８６－５,
最上保健所,山形県-最上保健所-009,伊藤匠歯科技工所,38.8132322,140.3622345,山形県新庄市大字萩野２６６７,0233-25-3144
最上保健所,山形県-最上保健所-010,ミヤマデンタルラボ,38.6898072,140.3146823,山形県舟形町舟形４９３－９,0233-32-3519
最上保健所,山形県-最上保健所-011,ありラボ,38.6916436,140.3187838,山形県舟形町舟形２８１－１０,
置賜保健所,山形県-置賜保健所-001,遠藤デンタルラボラトリー,38.07790990000001,140.0399336,山形県長井市時庭81-2,0238-84-4676
置賜保健所,山形県-置賜保健所-002,米沢デンタルラボラトリー,37.9223201,140.1167445,山形県米沢市松ヶ岬2-1-53,
置賜保健所,山形県-置賜保健所-003,有限会社竹善デンタルラボ,38.0326045,140.1543735,山形県南陽市中ノ目55-7,0238-43-6171
置賜保健所,山形県-置賜保健所-004,ベーシックデント･セラミック,38.0081632,140.1941495,山形県高畠町大字高畠2771-8,0238-52-0468
置賜保健所,山形県-置賜保健所-005,遠藤歯科技工室,37.9150268,140.0804024,山形県米沢市吹屋敷町4-27,0238-22-1717
置賜保健所,山形県-置賜保健所-006,若井デンティック,38.1448453,140.0140566,山形県長井市草岡1873-1,0238-84-0405
置賜保健所,山形県-置賜保健所-007,ヒグチD.L,38.112947,140.0284221,山形県長井市幸町10-6-1,
置賜保健所,山形県-置賜保健所-008,大場歯科補綴,37.91717870000001,140.0873996,山形県米沢市直江町3-26,0238-21-2282
置賜保健所,山形県-置賜保健所-009,オダ・デンタルラボ,38.0337423,140.1506427,山形県南陽市中ノ目482-4,0238-43-6358
置賜保健所,山形県-置賜保健所-010,小原デンタル工房,37.9193728,140.0807499,山形県米沢市大字舘山281-21,0238-21-5518
置賜保健所,山形県-置賜保健所-011,小関デンタルラボ,38.1719449,140.1158033,山形県白鷹町大字荒砥乙706,0238-85-3738
置賜保健所,山形県-置賜保健所-012,髙橋技工室,37.9223201,140.1167445,山形県米沢市古志田2935-1,080-5742-5668
置賜保健所,山形県-置賜保健所-013,ヒロト・デンタルラボ,38.1159451,140.039085,山形県長井市緑町5-40,0238-88-5399
置賜保健所,山形県-置賜保健所-014,デンタルラボハウス佐藤,37.8908753,140.1193986,山形県米沢市吾妻町８－７７,0238-38-4123
