管轄,管理番号,名称,緯度,経度,所在地,電話番号
山形市保健所,山形市保健所-001,アベデンタルラボ,38.3017413,140.3642837,山形県山形市大字青柳54-11,023-686-2626
山形市保健所,山形市保健所-002,荒井歯科技工所,38.2412,140.3413149,山形県山形市小荷駄町1-13,023-623-7350
山形市保健所,山形市保健所-003,羽前歯科技工所,38.2651082,140.3339295,山形県山形市宮町1-8-10,023-634-1441
山形市保健所,山形市保健所-004,宇野歯科技工所,38.2663222,140.3586482,山形県山形市山家町1-5-34,023-641-6098
山形市保健所,山形市保健所-005,エンドウデンタルマニファクチャー,38.3042036,140.3033239,山形県山形市大字中野268,023-681-7784
山形市保健所,山形市保健所-006,O.Tec.デンタルラボラトリー,38.2687677,140.3161442,山形県山形市西田5-10-1,023-645-5684
山形市保健所,山形市保健所-007,カネコ歯科技研,38.2133133,140.3212911,山形県山形市飯田西4-6-20,023-633-8293
山形市保健所,山形市保健所-008,株式会社青山デンタル・ラボ,38.2705423,140.3525604,山形県山形市花楯1-15-21,023-623-4509
山形市保健所,山形市保健所-009,今野デンタルラボラトリー,38.3136545,140.3455746,山形県山形市大字漆山3063-6,023-684-2576
山形市保健所,山形市保健所-010,酒井歯科技研,38.25883109999999,140.3579597,山形県山形市和合町2-5-67,023-631-6796
山形市保健所,山形市保健所-011,佐藤歯科技工所,38.2218975,140.3424199,山形県山形市上桜田1－16－54,023-624-3505
山形市保健所,山形市保健所-012,佐藤歯科補綴研究所,38.2117919,140.2761747,山形県山形市大字長谷堂55-7,023-688-2130
山形市保健所,山形市保健所-013,総合歯科技研,38.2449112,140.3413579,山形県山形市諏訪町1-6-34,023-641-8316
山形市保健所,山形市保健所-014,高橋デンタルラボ,38.2340612,140.3380606,山形県山形市寿町15-15,023-631-3567
山形市保健所,山形市保健所-015,タケダデンタル・ラボ,38.2677699,140.3261515,山形県山形市下条町4-5-31,023-643-6023
山形市保健所,山形市保健所-016,丹野デンタルラボラトリー,38.2940835,140.323679,山形県山形市大字今塚214-1,023-684-5781
山形市保健所,山形市保健所-017,デンタルクリエイト,38.2493985,140.2629168,山形県山形市大字村木沢321,023-644-6522
山形市保健所,山形市保健所-018,デンタル工房シバタ,38.2699613,140.3343897,山形県山形市宮町3-2-26,023-631-6691
山形市保健所,山形市保健所-019,ハイデント,38.2395428,140.3445379,山形県山形市南原町1-4-12,023-631-0598
山形市保健所,山形市保健所-020,畠山技工所,38.2551822,140.3206398,山形県山形市城西町2-4-23-16,023-643-2775
山形市保健所,山形市保健所-021,早川デンタルラボ,38.2337149,140.3234528,山形県山形市南四番町8-2,023-622-9655
山形市保健所,山形市保健所-022,ハヤト歯研（ラボ）,38.1888416,140.320639,山形県山形市蔵王半郷763-13,023-688-4309
山形市保健所,山形市保健所-023,（有）エンドーデンタルラボ,38.1969112,140.3041954,山形県山形市大字黒沢210-3,023-688-7040
山形市保健所,山形市保健所-024,（有）大和デンタルファインセラミックス,38.249963,140.3397102,山形県山形市本町2-3-4,023-623-7806
山形市保健所,山形市保健所-025,横沢デンタルラボラトリー,38.2233443,140.3040729,山形県山形市大字谷柏600,023-688-2022
山形市保健所,山形市保健所-026,ラボ・ワン,38.2755262,140.308554,山形県山形市陣場南6-2,023-684-7884
山形市保健所,山形市保健所-027,沼木技研,38.2458779,140.2877479,山形県山形市沼木433-13,023-645-5905
山形市保健所,山形市保健所-028,Link Dental Laboratory,38.2388649,140.3437999,山形県山形市南原町1-2-34,023-623-7607
山形市保健所,山形市保健所-029,工房イストワール,38.3051888,140.387894,山形県山形市大字大森576-28,023-686-4287
山形市保健所,山形市保健所-030,西村デンタルオフィス,38.1529672,140.4458267,山形県山形市蔵王西成沢211,023-688-9951
山形市保健所,山形市保健所-031,デンタルオフィス彩,38.2775329,140.3210071,山形県山形市江俣2-13-6-4,023-681-5683
山形市保健所,山形市保健所-032,ヨシダ歯科技工所,38.2513119,140.3252681,山形県山形市城南町1-13-3,023-643-8534
山形市保健所,山形市保健所-033,株式会社スマイルデザインアクト,38.2091074,140.3069279,山形県山形市片谷地121-14,023-664-0313
山形市保健所,山形市保健所-034,カンノデンタルセラミクス,38.2992763,140.35763,山形県山形市大字青柳259,023-686-2762
山形市保健所,山形市保健所-035,MEMIL.（メミル）,38.2461663,140.3331066,山形県山形市香澄町1-11-18 とみひろビル203,080-1679-1895
山形市保健所,山形市保健所-036,NEO歯いぱー,38.2362328,140.3544556,山形県山形市松山三丁目14-83　松山三丁目テナント1Ｆ西,023-665-1633
山形市保健所,山形市保健所-037,Niji-lab(ニジラボ),38.2348843,140.3196097,山形県山形市深町一丁目8番5号,023-646-1848
山形市保健所,山形市保健所-038,山形歯科技工研究所,38.24022799999999,140.2974104,山形県山形市大字沼木812-7,023-600-1391
山形市保健所,山形市保健所-039,合同会社レーヴデンタルクラフト,38.2136957,140.3390598,山形県山形市大字中桜田39番地,090-1136-5491
